<s>            | dit            | 0.00100389495492-> 9.989966e-01   | 
hem            | op             | 0.00506017636508-> 9.949526e-01   | 
op             | te             | 0.00789902731776-> 9.921321e-01   | 
te             | volgen         | 2.79869454971e-05-> 9.999720e-01   | 
volgen         | </s>           | 0.0086296312511-> 9.914075e-01   | 
</s>           | <s>            | 0.499498456717 -> 6.068349e-01   | 
<s>            | een            | 0.0127262566239-> 9.873544e-01   | 
een            | lelijke        | 1.35919553941e-05-> 9.999864e-01   | 
lelijke        | streek         | 1.34681831696e-05-> 9.999865e-01   | 
streek         | van            | 0.0269949696958-> 9.733661e-01   | 
van            | de             | 0.0667079165578-> 9.354684e-01   | 
de             | Spanjaard      | 2.33056452998e-05-> 9.999767e-01   | 
Spanjaard      | want           | 0.000495327345561-> 9.995048e-01   | 
want           | daarmee        | 3.02888347505e-05-> 9.999697e-01   | 
daarmee        | zou            | 0.000869062147103-> 9.991313e-01   | 
zou            | hij            | 0.00268789171241-> 9.973157e-01   | 
hij            | <UNK>          | 0.0145863732323-> 9.855195e-01   | 
<UNK>          | opzadelen      | 1.29777126858e-05-> 9.999870e-01   | 
opzadelen      | met            | 0.00466851890087-> 9.953424e-01   | 
met            | het            | 0.0023986552842-> 9.976042e-01   | 
het            | dilemma        | 1.93987434614e-05-> 9.999806e-01   | 
dilemma        | om             | 0.00272798864171-> 9.972757e-01   | 
om             | al             | 0.00159671914298-> 9.984046e-01   | 
al             | dan            | 0.00307972147129-> 9.969250e-01   | 
dan            | niet           | 0.0038714853581-> 9.961360e-01   | 
niet           | zichzelf       | 5.94920420554e-05-> 9.999405e-01   | 
zichzelf       | te             | 0.00681212497875-> 9.932110e-01   | 
te             | selecteren     | 2.32250313275e-05-> 9.999768e-01   | 
selecteren     | </s>           | 0.00867178570479-> 9.913657e-01   | 
</s>           | <s>            | 0.499494165182 -> 6.068376e-01   | 
<s>            | langer         | 2.80483327515e-05-> 9.999719e-01   | 
langer         | is             | 0.00707861175761-> 9.929464e-01   | 
is             | afgaande       | 1.07935502456e-05-> 9.999892e-01   | 
afgaande       | op             | 0.00476437667385-> 9.952469e-01   | 
op             | zijn           | 0.00857296958566-> 9.914637e-01   | 
zijn           | prestaties     | 2.30693040066e-05-> 9.999769e-01   | 
prestaties     | nochtans       | 1.43692250276e-05-> 9.999856e-01   | 
nochtans       | verzekerd      | 6.28129146207e-06-> 9.999937e-01   | 
verzekerd      | van            | 0.030218552798 -> 9.702334e-01   | 
van            | een            | 0.0115409996361-> 9.885253e-01   | 
een            | van            | 0.0106320092455-> 9.894243e-01   | 
van            | de             | 0.0650934055448-> 9.369799e-01   | 
de             | twaalf         | 7.29841267457e-05-> 9.999270e-01   | 
twaalf         | plaatsen       | 1.60866111401e-05-> 9.999839e-01   | 
plaatsen       | in             | 0.00909179355949-> 9.909494e-01   | 
in             | het            | 0.00268007791601-> 9.973235e-01   | 
het            | </s>           | 0.00508548272774-> 9.949274e-01   | 
</s>           | <s>            | 0.499422460794 -> 6.068811e-01   | 
<s>            | Europese       | 0.000247530319029-> 9.997525e-01   | 
Europese       | team           | 3.52579227183e-05-> 9.999647e-01   | 
team           | </s>           | 0.00671896804124-> 9.933035e-01   | 
</s>           | <s>            | 0.499122619629 -> 6.070631e-01   | 
<s>            | de             | 0.0993641167879-> 9.054130e-01   | 
de             | eerste         | 0.000514662475325-> 9.994855e-01   | 
eerste         | tien           | 0.000266886723693-> 9.997332e-01   | 
tien           | van            | 0.0256389342248-> 9.746870e-01   | 
van            | een            | 0.0112067637965-> 9.888558e-01   | 
een            | <UNK>          | 0.0182204991579-> 9.819445e-01   | 
<UNK>          | worden         | 0.00139664066955-> 9.986044e-01   | 
worden         | automatisch    | 6.4180148911e-06-> 9.999936e-01   | 
automatisch    | geselecteerd   | 1.17560875879e-05-> 9.999883e-01   | 
geselecteerd   | plus           | 1.73914741026e-05-> 9.999826e-01   | 
plus           | twee           | 0.00115312275011-> 9.988475e-01   | 
twee           | door           | 0.00209173373878-> 9.979104e-01   | 
door           | de             | 0.0662625581026-> 9.358851e-01   | 
de             | captain        | 2.66729239229e-05-> 9.999734e-01   | 
captain        | uit            | 0.00166099332273-> 9.983404e-01   | 
uit            | te             | 0.00716277677566-> 9.928628e-01   | 
te             | delen          | 1.97252593352e-05-> 9.999803e-01   | 
delen          | wildcards      | 2.12961131183e-05-> 9.999787e-01   | 
wildcards      | </s>           | 0.00814569368958-> 9.918874e-01   | 
</s>           | <s>            | 0.49950453639  -> 6.068313e-01   | 
<s>            | als            | 0.00344712287188-> 9.965588e-01   | 
als            | <UNK>          | 0.0163937080652-> 9.837399e-01   | 
<UNK>          | captain        | 1.9441038603e-05-> 9.999806e-01   | 
captain        | was            | 0.00290950317867-> 9.970948e-01   | 
was            | kwam           | 0.000304047338432-> 9.996960e-01   | 
kwam           | er             | 0.00286667514592-> 9.971374e-01   | 
er             | alleszins      | 1.56307687575e-05-> 9.999844e-01   | 
alleszins      | een            | 0.0107135763392-> 9.893436e-01   | 
een            | extra          | 2.38071061176e-05-> 9.999762e-01   | 
extra          | plaatsje       | 1.07730229502e-05-> 9.999892e-01   | 
plaatsje       | vrij           | 3.24055108649e-05-> 9.999676e-01   | 
vrij           | </s>           | 0.00830949377269-> 9.917249e-01   | 
</s>           | <s>            | 0.499509990215 -> 6.068279e-01   | 
<s>            | voor           | 0.00431437976658-> 9.956949e-01   | 
voor           | <UNK>          | 0.0152244847268-> 9.848908e-01   | 
<UNK>          | voor           | 0.00413802685216-> 9.958705e-01   | 
voor           | Ignacio        | 9.66112384049e-06-> 9.999903e-01   | 
Ignacio        | Garrido        | 6.94768095855e-06-> 9.999930e-01   | 
Garrido        | voor           | 0.00385009380989-> 9.961573e-01   | 
voor           | Miguel         | 2.94286819553e-05-> 9.999706e-01   | 
Miguel         | Angel          | 3.31949413521e-05-> 9.999668e-01   | 
Angel          | Jimenez        | 2.19885587285e-05-> 9.999780e-01   | 
Jimenez        | of             | 0.0024300897494-> 9.975728e-01   | 
of             | wie            | 0.00031254030182-> 9.996875e-01   | 
wie            | weet           | 0.00016911480634-> 9.998309e-01   | 
weet           | waarom         | 5.58674073545e-05-> 9.999442e-01   | 
waarom         | niet           | 0.00384279107675-> 9.961646e-01   | 
niet           | voor           | 0.00356198707595-> 9.964443e-01   | 
voor           | <UNK>          | 0.0125324353576-> 9.875458e-01   | 
<UNK>          | <UNK>          | 0.0154922129586-> 9.846272e-01   | 
<UNK>          | zelf           | 0.000648989283945-> 9.993512e-01   | 
zelf           | </s>           | 0.00826046895236-> 9.917735e-01   | 
</s>           | <s>            | 0.499535053968 -> 6.068127e-01   | 
<s>            | langer         | 2.80487402051e-05-> 9.999719e-01   | 
langer         | bedankte       | 9.52620484895e-06-> 9.999905e-01   | 
bedankte       | feestelijk     | 2.30124842346e-05-> 9.999770e-01   | 
feestelijk     | voor           | 0.00385551340878-> 9.961519e-01   | 
voor           | de             | 0.0764241367579-> 9.264232e-01   | 
de             | eer            | 1.2711520867e-05-> 9.999873e-01   | 
eer            | </s>           | 0.0086484355852-> 9.913889e-01   | 
</s>           | <s>            | 0.499382853508 -> 6.069051e-01   | 
<s>            | Mark           | 1.05552990135e-05-> 9.999894e-01   | 
Mark           | James          | 1.60978197528e-05-> 9.999839e-01   | 
James          | is             | 0.00666877580807-> 9.933534e-01   | 
is             | de             | 0.0715946108103-> 9.309082e-01   | 
de             | Europese       | 0.000348717352608-> 9.996514e-01   | 
Europese       | captain        | 2.11989718082e-05-> 9.999788e-01   | 
captain        | </s>           | 0.00805881712586-> 9.919736e-01   | 
</s>           | <s>            | 0.499443143606 -> 6.068685e-01   | 
<s>            | bij            | 0.00169851526152-> 9.983029e-01   | 
bij            | de             | 0.0656435713172-> 9.364646e-01   | 
de             | </s>           | 0.00309746596031-> 9.969074e-01   | 
</s>           | <s>            | 0.498583465815 -> 6.073905e-01   | 
<s>            | Amerikanen     | 5.05469906784e-05-> 9.999495e-01   | 
Amerikanen     | is             | 0.00709253782406-> 9.929326e-01   | 
is             | het            | 0.00285494187847-> 9.971491e-01   | 
het            | Ben            | 1.99750811589e-05-> 9.999800e-01   | 
Ben            | <UNK>          | 0.01391742751  -> 9.861790e-01   | 
<UNK>          | </s>           | 0.00795448105782-> 9.920771e-01   | 
</s>           | <s>            | 0.499443620443 -> 6.068682e-01   | 
<s>            | maar           | 0.00834812503308-> 9.916866e-01   | 
maar           | keren          | 1.30442022055e-05-> 9.999869e-01   | 
keren          | we             | 0.000877821585163-> 9.991226e-01   | 
we             | terug          | 3.23903295794e-05-> 9.999676e-01   | 
terug          | naar           | 0.00148973776959-> 9.985114e-01   | 
naar           | <UNK>          | 0.0148028815165-> 9.853061e-01   | 
<UNK>          | die            | 0.00363033707254-> 9.963762e-01   | 
die            | dus            | 0.00051956763491-> 9.994805e-01   | 
dus            | van            | 0.0305572338402-> 9.699049e-01   | 
van            | heel           | 0.000345189298969-> 9.996549e-01   | 
heel           | diep           | 1.35598784254e-05-> 9.999865e-01   | 
diep           | kwam           | 0.000312161573675-> 9.996879e-01   | 
kwam           | toen           | 0.000860432570335-> 9.991400e-01   | 
toen           | hij            | 0.00282531743869-> 9.971787e-01   | 
hij            | op             | 0.00505983456969-> 9.949529e-01   | 
op             | de             | 0.0760044157505-> 9.268121e-01   | 
de             | voorbije       | 1.99887508643e-05-> 9.999800e-01   | 
voorbije       | Masters        | 5.43646638107e-05-> 9.999456e-01   | 
Masters        | weer           | 0.000368026987417-> 9.996321e-01   | 
weer           | op             | 0.00500432215631-> 9.950082e-01   | 
op             | het            | 0.00268406816758-> 9.973195e-01   | 
het            | allerhoogste   | 1.16340543173e-05-> 9.999884e-01   | 
allerhoogste   | podium         | 1.58117145475e-05-> 9.999842e-01   | 
podium         | klom           | 1.06705474536e-05-> 9.999893e-01   | 
klom           | </s>           | 0.00831268168986-> 9.917217e-01   | 
</s>           | <s>            | 0.499516010284 -> 6.068243e-01   | 
<s>            | na             | 0.00147924153134-> 9.985219e-01   | 
na             | twee           | 0.00107805395965-> 9.989225e-01   | 
twee           | dagen          | 0.000146917562233-> 9.998531e-01   | 
dagen          | leidde         | 2.44359034696e-05-> 9.999756e-01   | 
leidde         | hij            | 0.00283530401066-> 9.971687e-01   | 
hij            | het            | 0.00244434271008-> 9.975587e-01   | 
het            | veld           | 2.37034764723e-05-> 9.999763e-01   | 
veld           | met            | 0.00445827143267-> 9.955516e-01   | 
met            | acht           | 0.000208980985917-> 9.997910e-01   | 
acht           | onder          | 0.000622272957116-> 9.993779e-01   | 
onder          | par            | 1.07082760223e-05-> 9.999893e-01   | 
par            | en             | 0.00688353693113-> 9.931401e-01   | 
en             | een            | 0.00842723343521-> 9.916082e-01   | 
een            | superieur      | 1.10421378849e-05-> 9.999890e-01   | 
superieur      | tweede         | 0.00027531007072-> 9.997247e-01   | 
tweede         | rondje         | 3.51595008397e-05-> 9.999648e-01   | 
rondje         | in             | 0.00914840400219-> 9.908933e-01   | 
in             | zes-en         | 0.000172540720087-> 9.998274e-01   | 
zes-en         | zestig         | 0.000459572998807-> 9.995405e-01   | 
zestig         | </s>           | 0.00829382520169-> 9.917405e-01   | 
</s>           | <s>            | 0.499532431364 -> 6.068143e-01   | 
<s>            | een            | 0.0127262575552-> 9.873544e-01   | 
een            | <UNK>          | 0.0153377028182-> 9.847793e-01   | 
<UNK>          | die            | 0.00325841968879-> 9.967469e-01   | 
die            | ook            | 0.00188635347877-> 9.981154e-01   | 
ook            | Bernard        | 8.91931176739e-06-> 9.999911e-01   | 
Bernard        | <UNK>          | 0.0144334891811-> 9.856701e-01   | 
<UNK>          | liet           | 7.95298765297e-05-> 9.999205e-01   | 
liet           | optekenen      | 1.01975419966e-05-> 9.999898e-01   | 
optekenen      | </s>           | 0.0083254892379-> 9.917091e-01   | 
</s>           | <s>            | 0.499522060156 -> 6.068206e-01   | 
<s>            | Amerikaanse    | 0.000131683191285-> 9.998683e-01   | 
Amerikaanse    | topfavorieten  | 8.1819780462e-06-> 9.999918e-01   | 
topfavorieten  | Tiger          | 7.26548614693e-06-> 9.999927e-01   | 
Tiger          | Woods          | 9.8970522231e-06-> 9.999901e-01   | 
Woods          | en             | 0.00653002178296-> 9.934912e-01   | 
en             | David          | 2.21506670641e-05-> 9.999778e-01   | 
David          | Duval          | 3.31078663294e-05-> 9.999669e-01   | 
Duval          | waren          | 0.000711403146852-> 9.992889e-01   | 
waren          | op             | 0.00498556904495-> 9.950268e-01   | 
op             | dat            | 0.00684044696391-> 9.931829e-01   | 
dat            | moment         | 5.09951460117e-05-> 9.999490e-01   | 
moment         | al             | 0.00157168216538-> 9.984295e-01   | 
al             | uitgeschakeld  | 1.39019120979e-05-> 9.999861e-01   | 
uitgeschakeld  | voor           | 0.0038534142077-> 9.961540e-01   | 
voor           | de             | 0.0766210481524-> 9.262408e-01   | 
de             | eindzege       | 5.88927396166e-05-> 9.999411e-01   | 
eindzege       | </s>           | 0.00903415028006-> 9.910066e-01   | 
</s>           | <s>            | 0.499430119991 -> 6.068764e-01   | 
<s>            | wat            | 0.00119538488798-> 9.988053e-01   | 
wat            | het            | 0.0029329736717-> 9.970713e-01   | 
het            | totaal         | 1.96273485926e-05-> 9.999804e-01   | 
totaal         | aantal         | 3.25102519128e-05-> 9.999675e-01   | 
aantal         | major          | 1.85448570846e-05-> 9.999815e-01   | 
major          | overwinningen  | 8.30409408081e-06-> 9.999917e-01   | 
overwinningen  | van            | 0.0294973812997-> 9.709334e-01   | 
van            | Tiger          | 6.27526333119e-06-> 9.999937e-01   | 
Tiger          | Woods          | 9.59115004662e-06-> 9.999904e-01   | 
Woods          | op             | 0.00480977864936-> 9.952018e-01   | 
op             | één          | 0.000911767652724-> 9.990886e-01   | 
één          | houdt          | 2.16403022932e-05-> 9.999784e-01   | 
houdt          | zijnde         | 1.03042948467e-05-> 9.999897e-01   | 
zijnde         | zeventien      | 5.73911747779e-05-> 9.999426e-01   | 
zeventien      | minder         | 0.000230666162679-> 9.997694e-01   | 
minder         | dan            | 0.00306497118436-> 9.969397e-01   | 
dan            | Jack           | 8.81240885064e-06-> 9.999912e-01   | 
Jack           | <UNK>          | 0.014511984773 -> 9.855928e-01   | 
<UNK>          | </s>           | 0.0082520833239-> 9.917819e-01   | 
</s>           | <s>            | 0.499521195889 -> 6.068211e-01   | 
<s>            | dit            | 0.00100389332511-> 9.989966e-01   | 
dit            | voor           | 0.00340246269479-> 9.966033e-01   | 
voor           | de             | 0.0755786672235-> 9.272068e-01   | 
de             | mannen         | 4.65666234959e-05-> 9.999534e-01   | 
mannen         | die            | 0.00308436970226-> 9.969204e-01   | 
die            | wat            | 0.000920008053072-> 9.990804e-01   | 
wat            | al             | 0.00151569582522-> 9.984854e-01   | 
al             | te             | 0.00666115432978-> 9.933610e-01   | 
te             | kwistig        | 1.66021945915e-05-> 9.999834e-01   | 
kwistig        | met            | 0.00452033895999-> 9.954898e-01   | 
met            | superlatieven  | 7.03964906279e-06-> 9.999930e-01   | 
superlatieven  | zwaaien        | 6.33100626146e-06-> 9.999937e-01   | 
zwaaien        | </s>           | 0.00827978551388-> 9.917544e-01   | 
</s>           | <s>            | 0.499523252249 -> 6.068199e-01   | 
<s>            | wij            | 9.2713155027e-05-> 9.999073e-01   | 
wij            | bedoelen       | 2.31573958445e-05-> 9.999768e-01   | 
bedoelen       | </s>           | 0.00676955282688-> 9.932533e-01   | 
</s>           | <s>            | 0.499139666557 -> 6.070527e-01   | 
<s>            | in             | 0.0105847101659-> 9.894711e-01   | 
in             | het            | 0.00328420219012-> 9.967212e-01   | 
het            | geval          | 3.9744143578e-05-> 9.999602e-01   | 
geval          | van            | 0.0290605369955-> 9.713576e-01   | 
van            | Woods          | 9.19327794691e-06-> 9.999908e-01   | 
Woods          | </s>           | 0.00780242634937-> 9.922279e-01   | 
</s>           | <s>            | 0.499469310045 -> 6.068527e-01   | 
<s>            | die            | 0.00405948702246-> 9.959487e-01   | 
die            | dat            | 0.00637892726809-> 9.936414e-01   | 
dat            | moet           | 0.000852754805237-> 9.991476e-01   | 
moet           | gezegd         | 2.86643826257e-05-> 9.999713e-01   | 
gezegd         | wel            | 0.00096773536643-> 9.990327e-01   | 
wel            | in             | 0.00898613035679-> 9.910541e-01   | 
in             | daverende      | 5.92810374656e-06-> 9.999941e-01   | 
daverende      | conditie       | 2.32165602938e-05-> 9.999768e-01   | 
conditie       | is             | 0.00612527551129-> 9.938934e-01   | 
is             | en             | 0.00746996281669-> 9.925579e-01   | 
en             | met            | 0.00371960387565-> 9.962873e-01   | 
met            | drie           | 0.000538470631 -> 9.994617e-01   | 
drie           | <UNK>          | 0.0145138120279-> 9.855910e-01   | 
<UNK>          | in             | 0.00996667705476-> 9.900828e-01   | 
in             | korte          | 1.18726820801e-05-> 9.999881e-01   | 
korte          | tijd           | 0.000442498974735-> 9.995576e-01   | 
tijd           | weer           | 0.000374577910407-> 9.996255e-01   | 
weer           | heeft          | 0.00132151122671-> 9.986793e-01   | 
heeft          | <UNK>          | 0.0144747467712-> 9.856295e-01   | 
<UNK>          | op             | 0.0053562275134-> 9.946581e-01   | 
op             | nummer         | 2.35834850173e-05-> 9.999764e-01   | 
nummer         | één          | 0.000873035518453-> 9.991273e-01   | 
één          | van            | 0.0275256577879-> 9.728497e-01   | 
van            | de             | 0.0675821974874-> 9.346509e-01   | 
de             | wereldranglijst| 2.23197603191e-05-> 9.999777e-01   | 
wereldranglijst| </s>           | 0.00904270354658-> 9.909980e-01   | 
</s>           | <s>            | 0.499422937632 -> 6.068808e-01   | 
<s>            | de             | 0.0993641242385-> 9.054130e-01   | 
de             | US             | 5.45409493498e-05-> 9.999455e-01   | 
US             | Open           | 9.21741229831e-05-> 9.999079e-01   | 
Open           | waarover       | 1.18828884297e-05-> 9.999881e-01   | 
waarover       | we             | 0.000826072471682-> 9.991743e-01   | 
we             | boven          | 0.000129852691316-> 9.998702e-01   | 
boven          | al             | 0.00153995584697-> 9.984612e-01   | 
al             | spraken        | 7.78089543019e-06-> 9.999922e-01   | 
spraken        | werd           | 0.00111740885768-> 9.988832e-01   | 
werd           | gewonnen       | 2.04012485483e-05-> 9.999796e-01   | 
gewonnen       | door           | 0.00219034985639-> 9.978120e-01   | 
door           | Payne          | 7.93608705862e-06-> 9.999921e-01   | 
Payne          | </s>           | 0.00834584701806-> 9.916889e-01   | 
</s>           | <s>            | 0.499535411596 -> 6.068125e-01   | 
<s>            | Stewart        | 4.84456759295e-05-> 9.999515e-01   | 
Stewart        | na             | 0.00132086174563-> 9.986800e-01   | 
na             | een            | 0.0108243273571-> 9.892340e-01   | 
een            | verbeten       | 1.3054494957e-05-> 9.999869e-01   | 
verbeten       | duel           | 6.45229956717e-05-> 9.999355e-01   | 
duel           | met            | 0.00445409910753-> 9.955558e-01   | 
met            | Phil           | 2.55828745139e-05-> 9.999744e-01   | 
Phil           | <UNK>          | 0.014683149755 -> 9.854241e-01   | 
<UNK>          | dat            | 0.00648203678429-> 9.935389e-01   | 
dat            | met            | 0.00524964183569-> 9.947641e-01   | 
met            | een            | 0.0110344765708-> 9.890262e-01   | 
een            | fenomenale     | 1.61657189892e-05-> 9.999838e-01   | 
fenomenale     | <UNK>          | 0.0135254599154-> 9.865656e-01   | 
<UNK>          | van            | 0.0332275368273-> 9.673184e-01   | 
van            | Stewart        | 4.83996773255e-05-> 9.999516e-01   | 
Stewart        | op             | 0.00509919598699-> 9.949138e-01   | 
op             | de             | 0.0759760662913-> 9.268384e-01   | 
de             | laatste        | 0.000294502387987-> 9.997056e-01   | 
laatste        | hole           | 2.14279407373e-05-> 9.999786e-01   | 
hole           | werd           | 0.00109147268813-> 9.989091e-01   | 
werd           | beslecht       | 1.45984267874e-05-> 9.999854e-01   | 
beslecht       | </s>           | 0.00826009828597-> 9.917739e-01   | 
</s>           | <s>            | 0.499516546726 -> 6.068240e-01   | 
<s>            | Woods          | 9.46059481066e-06-> 9.999905e-01   | 
Woods          | eindigde       | 1.98569359782e-05-> 9.999802e-01   | 
eindigde       | derde          | 3.67020620615e-05-> 9.999633e-01   | 
derde          | </s>           | 0.0074539850466-> 9.925737e-01   | 
</s>           | <s>            | 0.499360024929 -> 6.069189e-01   | 
<s>            | voor           | 0.00431438023224-> 9.956949e-01   | 
voor           | Stewart        | 4.92329272674e-05-> 9.999508e-01   | 
Stewart        | twee-en        | 0.000196518478333-> 9.998035e-01   | 
twee-en        | veertig        | 0.000246306502959-> 9.997537e-01   | 
veertig        | komma          | 0.000388965650927-> 9.996111e-01   | 
komma          | was            | 0.00290792342275-> 9.970963e-01   | 
was            | het            | 0.00260352506302-> 9.973999e-01   | 
het            | de             | 0.0252682082355-> 9.750484e-01   | 
de             | derde          | 4.57635105704e-05-> 9.999542e-01   | 
derde          | major          | 1.89673683053e-05-> 9.999810e-01   | 
major          | in             | 0.0088491467759-> 9.911899e-01   | 
in             | zijn           | 0.00845621433109-> 9.915794e-01   | 
zijn           | carrière      | 1.91436593013e-05-> 9.999809e-01   | 
carrière      | </s>           | 0.00834036711603-> 9.916943e-01   | 
</s>           | <s>            | 0.499495178461 -> 6.068369e-01   | 
<s>            | hij            | 0.00856432039291-> 9.914722e-01   | 
hij            | won            | 5.71741256863e-05-> 9.999428e-01   | 
won            | in             | 0.00900146365166-> 9.910389e-01   | 
in             | negen-en       | 0.000582448439673-> 9.994177e-01   | 
negen-en       | tachtig        | 0.000246558163781-> 9.997535e-01   | 
tachtig        | de             | 0.0606706477702-> 9.411331e-01   | 
de             | US             | 5.76297970838e-05-> 9.999424e-01   | 
US             | <UNK>          | 0.0133309885859-> 9.867575e-01   | 
<UNK>          | en             | 0.00712597556412-> 9.928994e-01   | 
en             | in             | 0.00714228721336-> 9.928831e-01   | 
in             | één-en       | 0.000370692665456-> 9.996294e-01   | 
één-en       | negentig       | 0.00101269758306-> 9.989878e-01   | 
negentig       | zijn           | 0.00749624799937-> 9.925318e-01   | 
zijn           | eerste         | 0.000818671309389-> 9.991817e-01   | 
eerste         | van            | 0.0286997072399-> 9.717082e-01   | 
van            | twee           | 0.00117961142678-> 9.988211e-01   | 
twee           | US             | 4.55000554211e-05-> 9.999545e-01   | 
US             | <UNK>          | 0.0145775135607-> 9.855282e-01   | 
<UNK>          | </s>           | 0.0082173012197-> 9.918163e-01   | 
</s>           | <s>            | 0.499516248703 -> 6.068242e-01   | 
<s>            | Payne          | 7.50624303691e-06-> 9.999925e-01   | 
Payne          | is             | 0.00716655701399-> 9.928591e-01   | 
is             | een            | 0.0117244934663-> 9.883440e-01   | 
een            | van            | 0.00955780502409-> 9.904878e-01   | 
van            | de             | 0.0645522549748-> 9.374871e-01   | 
de             | weinige        | 3.56317614205e-05-> 9.999644e-01   | 
weinige        | profs          | 4.13036395912e-05-> 9.999587e-01   | 
profs          | die            | 0.00322868791409-> 9.967765e-01   | 
die            | met            | 0.00429571326822-> 9.957135e-01   | 
met            | plezier        | 9.64544415183e-06-> 9.999903e-01   | 
plezier        | de             | 0.0606562718749-> 9.411467e-01   | 
de             | <UNK>          | 0.0181610956788-> 9.820028e-01   | 
<UNK>          | aantrekt       | 1.98494435608e-05-> 9.999802e-01   | 
aantrekt       | en             | 0.0066427718848-> 9.933792e-01   | 
en             | daarbij        | 2.91125543299e-05-> 9.999709e-01   | 
daarbij        | gewaagde       | 4.46007798018e-05-> 9.999554e-01   | 
gewaagde       | <UNK>          | 0.0141102727503-> 9.859888e-01   | 
<UNK>          | niet           | 0.00402953336015-> 9.959786e-01   | 
niet           | schuwt         | 1.27025514303e-05-> 9.999873e-01   | 
schuwt         | </s>           | 0.00844696257263-> 9.915886e-01   | 
</s>           | <s>            | 0.499523490667 -> 6.068197e-01   | 
<s>            | overigens      | 1.17169529403e-05-> 9.999883e-01   | 
overigens      | is             | 0.00725148711354-> 9.927747e-01   | 
is             | het            | 0.00285597494803-> 9.971481e-01   | 
het            | in             | 0.00420621084049-> 9.958026e-01   | 
in             | golf           | 5.41251283721e-05-> 9.999459e-01   | 
golf           | niet           | 0.00381522183307-> 9.961920e-01   | 
niet           | belangrijk     | 4.55752524431e-05-> 9.999544e-01   | 
belangrijk     | wat            | 0.000936083437409-> 9.990643e-01   | 
wat            | iemand         | 9.06584027689e-05-> 9.999093e-01   | 
iemand         | draagt         | 1.02555568446e-05-> 9.999897e-01   | 
draagt         | wel            | 0.000991814536974-> 9.990087e-01   | 
wel            | hoeveel        | 2.62308949459e-05-> 9.999738e-01   | 
hoeveel        | hij            | 0.00267788418569-> 9.973257e-01   | 
hij            | betaald        | 1.07713767648e-05-> 9.999892e-01   | 
betaald        | wordt          | 0.00141181563959-> 9.985892e-01   | 
wordt          | om             | 0.00295042200014-> 9.970539e-01   | 
om             | het            | 0.00262856669724-> 9.973749e-01   | 
het            | te             | 0.00342944962904-> 9.965764e-01   | 
te             | dragen         | 1.22275105241e-05-> 9.999878e-01   | 
dragen         | </s>           | 0.00860312208533-> 9.914338e-01   | 
</s>           | <s>            | 0.499468356371 -> 6.068532e-01   | 
<s>            | de             | 0.0993641242385-> 9.054130e-01   | 
de             | man            | 8.03084985819e-05-> 9.999197e-01   | 
man            | die            | 0.00286865537055-> 9.971355e-01   | 
die            | het            | 0.00235299556516-> 9.976498e-01   | 
het            | meest          | 3.98337142542e-05-> 9.999602e-01   | 
meest          | in             | 0.00843393523246-> 9.916015e-01   | 
in             | de             | 0.0732871294022-> 9.293339e-01   | 
de             | kijker         | 1.23799018183e-05-> 9.999876e-01   | 
kijker         | liep           | 3.48653557012e-05-> 9.999651e-01   | 
liep           | was            | 0.00287339230999-> 9.971308e-01   | 
was            | deze           | 0.000469034188427-> 9.995311e-01   | 
deze           | keer           | 0.000226277421461-> 9.997737e-01   | 
keer           | nochtans       | 1.40376250783e-05-> 9.999859e-01   | 
nochtans       | niet           | 0.00379544124007-> 9.962118e-01   | 
niet           | de             | 0.0547020435333-> 9.467672e-01   | 
de             | winnaar        | 1.58765396918e-05-> 9.999841e-01   | 
winnaar        | maar           | 0.00156983826309-> 9.984314e-01   | 
maar           | de             | 0.0724457427859-> 9.301162e-01   | 
de             | tweede         | 0.00024447083706-> 9.997556e-01   | 
tweede         | </s>           | 0.00890294834971-> 9.911366e-01   | 
</s>           | <s>            | 0.499405741692 -> 6.068912e-01   | 
<s>            | Phil           | 2.43713602686e-05-> 9.999756e-01   | 
Phil           | <UNK>          | 0.016049798578 -> 9.840783e-01   | 
<UNK>          | </s>           | 0.00676396396011-> 9.932588e-01   | 
</s>           | <s>            | 0.499124825001 -> 6.070617e-01   | 
<s>            | en             | 0.00550171034411-> 9.945134e-01   | 
en             | wel            | 0.000742169970181-> 9.992581e-01   | 
wel            | omdat          | 0.000617654586677-> 9.993826e-01   | 
omdat          | zijn           | 0.00751685444266-> 9.925113e-01   | 
zijn           | vrouw          | 5.8165514929e-05-> 9.999418e-01   | 
vrouw          | elk            | 3.01351301459e-05-> 9.999698e-01   | 
elk            | moment         | 5.71597447561e-05-> 9.999428e-01   | 
moment         | van            | 0.0303740650415-> 9.700826e-01   | 
van            | hun            | 0.000889726856258-> 9.991106e-01   | 
hun            | eerste         | 0.000831327284686-> 9.991690e-01   | 
eerste         | kind           | 1.83320189535e-05-> 9.999816e-01   | 
kind           | kon            | 0.000399091193685-> 9.996010e-01   | 
kon            | bevallen       | 9.06554396352e-06-> 9.999909e-01   | 
bevallen       | </s>           | 0.00838116277009-> 9.916539e-01   | 
</s>           | <s>            | 0.499527722597 -> 6.068172e-01   | 
<s>            | tenminste      | 1.65131514223e-05-> 9.999835e-01   | 
tenminste      | volgens        | 0.000197747445782-> 9.998023e-01   | 
volgens        | Phil           | 2.67046889348e-05-> 9.999733e-01   | 
Phil           | </s>           | 0.007461250294 -> 9.925665e-01   | 
