input           | target          | original0       <-> cbow_tfidf_soft0 || best model: 0:first, 1:second
gegeven         | </s>            | 0.78783249855   <-> 0.821807861328  || 0
<s>             | alleen          | 6.03627109528   <-> 6.04783153534   || 0
alleen          | Payne           | 14.0653953552   <-> 14.4088878632   || 0
Payne           | Stewart         | 11.4082298279   <-> 10.9187574387   || 1
Stewart         | gaf             | 6.62760162354   <-> 6.92825317383   || 0
gaf             | niet            | 4.92764568329   <-> 4.00627708435   || 1
niet            | geheel          | 9.34635639191   <-> 9.30884838104   || 1
geheel          | belangeloos     | 13.5957555771   <-> 13.4398727417   || 1
belangeloos     | Phil            | 13.0965232849   <-> 13.1830368042   || 0
Phil            | gelijk          | 10.4853363037   <-> 10.9882802963   || 0
gelijk          | </s>            | 0.838693797588  <-> 0.812961399555  || 1
<s>             | en              | 4.13496208191   <-> 4.06346845627   || 1
en              | gooide          | 9.44466781616   <-> 11.7531509399   || 0
gooide          | net             | 7.52894639969   <-> 8.0678024292    || 0
net             | voor            | 3.59552097321   <-> 3.82084012032   || 0
voor            | de              | 1.33906650543   <-> 1.2878190279    || 1
de              | slotronde       | 10.856593132    <-> 11.0311546326   || 0
slotronde       | die             | 3.96071863174   <-> 4.60030603409   || 0
die             | uitgerekend     | 10.1016998291   <-> 10.393579483    || 0
uitgerekend     | op              | 3.36635351181   <-> 3.17859578133   || 1
op              | <UNK>           | 3.38573622704   <-> 3.51920294762   || 0
<UNK>           | gespeeld        | 8.85299873352   <-> 8.79254055023   || 1
gespeeld        | werd            | 2.39431285858   <-> 4.91966485977   || 0
werd            | nog             | 6.99293279648   <-> 6.67217254639   || 1
nog             | wat             | 5.23991584778   <-> 5.25030088425   || 0
wat             | olie            | 10.0004415512   <-> 10.483549118    || 0
olie            | op              | 3.04242038727   <-> 2.91656517982   || 1
op              | het             | 2.41134309769   <-> 2.10350656509   || 1
het             | vuur            | 6.05781459808   <-> 6.1375875473    || 0
vuur            | door            | 5.33358240128   <-> 6.55936717987   || 0
door            | te              | 4.06710243225   <-> 3.80781197548   || 1
te              | verklaren       | 7.46310520172   <-> 8.3334608078    || 0
verklaren       | </s>            | 0.507872223854  <-> 0.513480305672  || 0
<s>             | ik              | 3.6777806282    <-> 3.52736139297   || 1
ik              | persoonlijk     | 11.0628566742   <-> 11.8603019714   || 0
persoonlijk     | heb             | 5.22067499161   <-> 5.68159008026   || 0
heb             | twee            | 9.87135887146   <-> 7.94989204407   || 1
twee            | kinderen        | 4.72601413727   <-> 5.07355546951   || 0
kinderen        | </s>            | 2.9128973484    <-> 3.02636170387   || 0
<s>             | voor            | 4.61008024216   <-> 4.71159315109   || 0
voor            | geen            | 6.94038486481   <-> 6.9951505661    || 0
geen            | geld            | 6.60421609879   <-> 5.51691579819   || 1
geld            | ter             | 7.73691940308   <-> 7.94095230103   || 0
ter             | wereld          | 1.64414644241   <-> 1.13363242149   || 1
wereld          | had             | 5.27940273285   <-> 5.6780629158    || 0
had             | ik              | 1.56480193138   <-> 2.68386411667   || 0
ik              | hun             | 6.6163187027    <-> 6.02378129959   || 1
hun             | geboorte        | 7.95423603058   <-> 8.90015506744   || 0
geboorte        | willen          | 8.36326980591   <-> 7.75167608261   || 1
willen          | missen          | 6.02937698364   <-> 5.99892139435   || 1
missen          | </s>            | 0.459031254053  <-> 0.555604279041  || 0
<s>             | Engelse         | 10.8350753784   <-> 10.4348430634   || 1
Engelse         | reporters       | 9.80363845825   <-> 9.4877538681    || 1
reporters       | merkten         | 9.46494674683   <-> 8.67063236237   || 1
merkten         | niet            | 3.64935898781   <-> 3.99469947815   || 0
niet            | zonder          | 6.46096134186   <-> 6.4262804985    || 1
zonder          | trots           | 7.64925050735   <-> 8.32841873169   || 0
trots           | op              | 3.19662117958   <-> 2.28962278366   || 1
op              | dat             | 4.37148857117   <-> 3.69926381111   || 1
dat             | de              | 2.05461573601   <-> 2.03849601746   || 1
de              | oude            | 6.55497932434   <-> 6.33650588989   || 1
oude            | Shakespeare     | 11.9171295166   <-> 10.8537759781   || 1
Shakespeare     | het             | 3.99189925194   <-> 3.7286169529    || 1
het             | weer            | 6.40858459473   <-> 6.71388435364   || 0
weer            | eens            | 4.68597507477   <-> 5.53546142578   || 0
eens            | bij             | 5.01121091843   <-> 5.18021297455   || 0
bij             | het             | 2.37588214874   <-> 2.32343530655   || 1
het             | rechte          | 7.84724664688   <-> 7.87168502808   || 0
rechte          | eind            | 7.47991752625   <-> 7.28418731689   || 1
eind            | had             | 4.77333164215   <-> 5.3205370903    || 0
had             | gehad           | 5.31431770325   <-> 4.50557041168   || 1
gehad           | </s>            | 0.394380450249  <-> 0.335335582495  || 1
<s>             | to              | 11.3294458389   <-> 10.7559165955   || 1
to              | <UNK>           | 1.44142353535   <-> 1.55480515957   || 0
<UNK>           | or              | 8.89133071899   <-> 7.74488735199   || 1
or              | not             | 6.17292118073   <-> 5.45047426224   || 1
not             | to              | 4.0379858017    <-> 3.26166820526   || 1
to              | <UNK>           | 1.65418243408   <-> 2.33373260498   || 0
<UNK>           | that's          | 11.770740509    <-> 11.2014245987   || 1
that's          | the             | 3.07517528534   <-> 2.58739113808   || 1
the             | <UNK>           | 1.07804965973   <-> 1.50782895088   || 0
<UNK>           | </s>            | 1.8361569643    <-> 1.61277961731   || 1
<s>             | om              | 6.0697722435    <-> 5.77625083923   || 1
om              | een             | 2.28460645676   <-> 2.45568847656   || 0
een             | lang            | 7.43303108215   <-> 8.22027873993   || 0
lang            | verhaal         | 5.82408905029   <-> 7.15140533447   || 0
verhaal         | kort            | 10.3230867386   <-> 10.5231075287   || 0
kort            | te              | 1.58019900322   <-> 1.42846739292   || 1
te              | maken           | 3.10155582428   <-> 2.4844121933    || 1
maken           | </s>            | 1.72651791573   <-> 1.75815796852   || 0
<s>             | <UNK>           | 2.94485449791   <-> 3.1544175148    || 0
<UNK>           | werd            | 4.84180164337   <-> 4.64409351349   || 1
werd            | geboren         | 5.46554279327   <-> 5.19840335846   || 1
geboren         | precies         | 11.1026391983   <-> 11.0021982193   || 1
precies         | één           | 6.32513999939   <-> 5.75228357315   || 1
één           | dag             | 5.42344236374   <-> 5.73068809509   || 0
dag             | nadat           | 5.79168224335   <-> 4.53465366364   || 1
nadat           | haar            | 5.27168273926   <-> 5.2228012085    || 1
haar            | vader           | 3.84456825256   <-> 3.30869364738   || 1
vader           | tweede          | 9.65188980103   <-> 8.97552394867   || 1
tweede          | was             | 4.51839256287   <-> 3.63729858398   || 1
was             | geworden        | 6.01367139816   <-> 5.49478816986   || 1
geworden        | in              | 3.3927989006    <-> 2.78072404861   || 1
in              | de              | 1.12737953663   <-> 1.12632989883   || 1
de              | US              | 9.17952728271   <-> 7.52619457245   || 1
US              | Open            | 1.21020889282   <-> 0.123821027577  || 1
Open            | </s>            | 1.18501877785   <-> 0.980351209641  || 1
<s>             | twee            | 5.71243667603   <-> 5.9922504425    || 0
twee            | weken           | 2.87791728973   <-> 3.53108048439   || 0
weken           | voor            | 5.49833440781   <-> 5.39210224152   || 1
voor            | de              | 1.07413554192   <-> 1.25221383572   || 0
de              | dokters         | 9.59841156006   <-> 9.86295890808   || 0
dokters         | hadden          | 5.04138660431   <-> 4.95668125153   || 1
hadden          | voorspeld       | 11.2751245499   <-> 10.5705089569   || 1
voorspeld       | </s>            | 1.91601967812   <-> 2.39045572281   || 0
<s>             | u               | 7.16249895096   <-> 6.56703615189   || 1
u               | begrijpt        | 6.96430969238   <-> 6.32313537598   || 1
begrijpt        | heren           | 14.2916154861   <-> 14.5809230804   || 0
heren           | sprak           | 11.0587863922   <-> 11.0962572098   || 0
sprak           | de              | 2.48577713966   <-> 2.54855394363   || 0
de              | trotse          | 9.13238048553   <-> 9.16337108612   || 0
trotse          | vader           | 6.25248193741   <-> 5.44480895996   || 1
vader           | tot             | 5.89227437973   <-> 6.6318063736    || 0
tot             | de              | 2.10622644424   <-> 1.75270581245   || 1
de              | verslaggevers   | 11.2891731262   <-> 11.6995124817   || 0
verslaggevers   | die             | 2.73981666565   <-> 3.41718411446   || 0
die             | hem             | 3.76485919952   <-> 4.82599544525   || 0
hem             | tot             | 5.60219955444   <-> 5.55288696289   || 1
tot             | in              | 4.4972820282    <-> 4.66554784775   || 0
in              | het             | 2.05546069145   <-> 1.95715117455   || 1
het             | moederhuis      | 11.0226535797   <-> 11.1858177185   || 0
moederhuis      | waren           | 5.73955631256   <-> 5.21855783463   || 1
waren           | gevolgd         | 7.90723133087   <-> 6.93670034409   || 1
gevolgd         | dat             | 7.22231578827   <-> 6.56428575516   || 1
dat             | ik              | 2.95058298111   <-> 3.48666238785   || 0
ik              | in              | 3.41448163986   <-> 3.31073927879   || 1
in              | deze            | 4.82460737228   <-> 4.47222614288   || 1
deze            | omstandigheden  | 6.13669776917   <-> 5.20444774628   || 1
omstandigheden  | niet            | 3.32607460022   <-> 3.28131461143   || 1
niet            | veel            | 4.31454849243   <-> 4.93091440201   || 0
veel            | zin             | 5.62351417542   <-> 6.08300495148   || 0
zin             | had             | 3.00212931633   <-> 2.57065820694   || 1
had             | om              | 2.94097900391   <-> 2.46090483665   || 1
om              | een             | 2.37722849846   <-> 2.75693750381   || 0
een             | <UNK>           | 1.94490993023   <-> 2.32663941383   || 0
<UNK>           | af              | 4.83900117874   <-> 4.95012283325   || 0
af              | te              | 0.191646739841  <-> 0.0901526063681 || 1
te              | dwingen         | 5.40725517273   <-> 3.32190585136   || 1
dwingen         | </s>            | 0.658026814461  <-> 0.664806067944  || 0
<s>             | een             | 3.55916833878   <-> 3.64563417435   || 0
een             | <UNK>           | 1.79831528664   <-> 2.19535446167   || 0
<UNK>           | in              | 3.18404889107   <-> 3.03928470612   || 1
in              | de              | 1.18761634827   <-> 1.28075838089   || 0
de              | US              | 9.68999671936   <-> 8.9936466217    || 1
US              | Open            | 1.54856288433   <-> 0.360115289688  || 1
Open            | betekent        | 8.56693744659   <-> 8.00024986267   || 1
betekent        | een             | 3.0884885788    <-> 2.50274991989   || 1
een             | extra           | 7.4422492981    <-> 7.01058387756   || 1
extra           | rondje          | 9.42015647888   <-> 10.0818777084   || 0
rondje          | van             | 3.89423847198   <-> 3.47803974152   || 1
van             | achttien        | 7.67991161346   <-> 6.86436414719   || 1
achttien        | holes           | 12.5654220581   <-> 10.2992706299   || 1
holes           | op              | 3.61598992348   <-> 3.90672802925   || 0
op              | maandag         | 8.1324224472    <-> 6.81376981735   || 1
maandag         | </s>            | 0.988341033459  <-> 1.31799411774   || 0
<s>             | de              | 1.9801145792    <-> 1.99175584316   || 0
de              | eerste          | 3.86102986336   <-> 4.51681232452   || 0
eerste          | twee            | 4.86301898956   <-> 4.89192390442   || 0
twee            | majors          | 12.3134117126   <-> 12.0479869843   || 1
majors          | van             | 2.88237428665   <-> 2.79739904404   || 1
van             | het             | 2.3485789299    <-> 2.30061793327   || 1
het             | seizoen         | 5.53348588943   <-> 5.34734201431   || 1
seizoen         | hebben          | 3.97832226753   <-> 3.68546652794   || 1
hebben          | we              | 4.05107879639   <-> 4.45331478119   || 0
we              | dus             | 6.34724521637   <-> 6.46896648407   || 0
dus             | gehad           | 7.39632034302   <-> 7.83264446259   || 0
gehad           | </s>            | 1.22218453884   <-> 0.794596731663  || 1
<s>             | dit             | 5.45897293091   <-> 5.13898229599   || 1
dit             | weekend         | 4.24001932144   <-> 4.62925291061   || 0
weekend         | staat           | 5.25172710419   <-> 4.79873514175   || 1
staat           | de              | 2.08540248871   <-> 1.81935954094   || 1
de              | derde           | 5.83497047424   <-> 5.72269535065   || 1
derde           | van             | 3.02879714966   <-> 2.88354325294   || 1
van             | de              | 0.925002455711  <-> 1.07929944992   || 0
de              | vier            | 5.53453826904   <-> 5.06965446472   || 1
vier            | op              | 6.08304834366   <-> 5.68785047531   || 1
op              | het             | 2.35176253319   <-> 2.42425060272   || 0
het             | programma       | 4.52687931061   <-> 4.23346853256   || 1
programma       | </s>            | 1.21130418777   <-> 1.45875883102   || 0
<s>             | de              | 2.00391411781   <-> 1.99175584316   || 1
de              | British         | 10.8079156876   <-> 10.4535160065   || 1
British         | Open            | 5.4313249588    <-> 3.50202345848   || 1
Open            | </s>            | 3.63647556305   <-> 4.05887317657   || 0
<s>             | gespeeld        | 11.7954416275   <-> 12.2840681076   || 0
gespeeld        | op              | 3.43091917038   <-> 3.21241092682   || 1
op              | de              | 1.34651505947   <-> 1.35239994526   || 0
de              | authentieke     | 10.5632505417   <-> 10.2028999329   || 1
authentieke     | <UNK>           | 1.51115739346   <-> 1.53897404671   || 0
<UNK>           | van             | 2.16690826416   <-> 1.6851580143    || 1
van             | <UNK>           | 2.12115097046   <-> 2.37015581131   || 0
<UNK>           | aan             | 6.08774662018   <-> 5.93656158447   || 1
aan             | de              | 1.08539581299   <-> 1.16440331936   || 0
de              | Schotse         | 8.12835407257   <-> 8.08295154572   || 1
Schotse         | kust            | 5.11624145508   <-> 4.4490237236    || 1
kust            | </s>            | 1.26672172546   <-> 1.77317166328   || 0
<s>             | een             | 3.4842312336    <-> 3.64563417435   || 0
een             | baan            | 8.51996517181   <-> 8.3010635376    || 1
baan            | waar            | 5.72861385345   <-> 5.62166786194   || 1
waar            | ze              | 3.59758996964   <-> 3.05307006836   || 1
ze              | geen            | 4.52241420746   <-> 4.0571398735    || 1
geen            | enkele          | 4.15759658813   <-> 3.7175450325    || 1
enkele          | kunstmatige     | 11.3046483994   <-> 11.0023269653   || 1
kunstmatige     | hindernis       | 9.20933151245   <-> 8.78596782684   || 1
hindernis       | hebben          | 3.67126584053   <-> 2.93278932571   || 1
hebben          | gelegd          | 6.57286453247   <-> 7.39145374298   || 0
gelegd          | omdat           | 5.82122135162   <-> 5.71256351471   || 1
omdat           | er              | 3.30686211586   <-> 3.08672261238   || 1
er              | een             | 2.03215050697   <-> 2.33409929276   || 0
een             | natuurlijke     | 8.63272666931   <-> 8.37425804138   || 1
natuurlijke     | hindernis       | 8.82058906555   <-> 9.10851669312   || 0
hindernis       | is              | 2.34723234177   <-> 1.82270085812   || 1
is              | die             | 4.69205760956   <-> 4.42955589294   || 1
die             | al              | 4.72787666321   <-> 4.85632419586   || 0
al              | haar            | 6.27339172363   <-> 5.82688999176   || 1
haar            | kunstmatige     | 11.1279430389   <-> 10.7776498795   || 1
kunstmatige     | collega's       | 7.32447433472   <-> 8.09634399414   || 0
collega's       | overbodig       | 10.7160491943   <-> 9.5721282959    || 1
overbodig       | maakt           | 4.82308483124   <-> 4.34796905518   || 1
maakt           | </s>            | 0.508046746254  <-> 0.510169565678  || 0
<s>             | de              | 1.81554150581   <-> 1.99175584316   || 0
de              | felle           | 9.7167673111    <-> 9.84710788727   || 0
felle           | <UNK>           | 1.95081067085   <-> 2.06475138664   || 0
<UNK>           | </s>            | 4.82036161423   <-> 3.66431999207   || 1
<s>             | verder          | 7.81018686295   <-> 7.41905546188   || 1
verder          | maaien          | 12.882932663    <-> 12.6425094604   || 1
maaien          | ze              | 3.17893409729   <-> 3.54118251801   || 0
ze              | het             | 3.59674668312   <-> 3.25579190254   || 1
het             | gras            | 8.10857200623   <-> 7.32088184357   || 1
gras            | één           | 8.0431137085    <-> 8.37035655975   || 0
één           | keer            | 3.38870716095   <-> 3.86676263809   || 0
keer            | per             | 4.96728897095   <-> 4.11793136597   || 1
per             | jaar            | 1.97182166576   <-> 2.47174549103   || 0
jaar            | en              | 3.26977491379   <-> 3.01531291008   || 1
en              | dat             | 3.89374303818   <-> 3.89420294762   || 0
dat             | is              | 2.41782426834   <-> 2.20853233337   || 1
is              | zeker           | 5.84727430344   <-> 5.78115844727   || 1
zeker           | niet            | 2.75344181061   <-> 2.70157527924   || 1
niet            | voor            | 3.64522433281   <-> 4.0135974884    || 0
voor            | de              | 1.10945439339   <-> 1.37493252754   || 0
de              | Open            | 9.82479190826   <-> 10.2206487656   || 0
Open            | </s>            | 2.29164552689   <-> 2.02720475197   || 1
<s>             | Schotten        | 13.5833330154   <-> 12.9810476303   || 1
Schotten        | zijn            | 2.84071016312   <-> 2.97195219994   || 0
zijn            | zondag          | 7.26650047302   <-> 7.44968175888   || 0
zondag          | </s>            | 3.03614139557   <-> 2.95830154419   || 1
<s>             | voor            | 4.55999040604   <-> 4.71159315109   || 0
voor            | hen             | 5.52080154419   <-> 5.68033742905   || 0
hen             | was             | 3.8390994072    <-> 3.71982240677   || 1
was             | de              | 1.69835925102   <-> 1.61323666573   || 1
de              | beste           | 5.55987358093   <-> 5.90915203094   || 0
beste           | <UNK>           | 2.03463101387   <-> 2.34815716743   || 0
<UNK>           | <UNK>           | 2.9161593914    <-> 3.27100729942   || 0
<UNK>           | Natuur          | 13.1763677597   <-> 13.1661367416   || 1
Natuur          | </s>            | 1.29532837868   <-> 1.15387177467   || 1
<s>             | Gary            | 10.7526025772   <-> 10.9539833069   || 0
Gary            | Player          | 11.8327035904   <-> 11.0221643448   || 1
Player          | vatte           | 9.49740028381   <-> 9.81210899353   || 0
vatte           | het             | 2.82582688332   <-> 2.86615848541   || 0
het             | zo              | 5.83306598663   <-> 6.2980761528    || 0
zo              | samen           | 6.89411449432   <-> 6.87537193298   || 1
samen           | </s>            | 2.02777552605   <-> 2.71486091614   || 0
<s>             | <UNK>           | 3.07802700996   <-> 3.1544175148    || 0
<UNK>           | is              | 3.07420682907   <-> 3.03689169884   || 1
is              | het             | 3.13387346268   <-> 3.0982465744    || 1
het             | bewijs          | 6.72347640991   <-> 6.34132671356   || 1
bewijs          | dat             | 1.24892246723   <-> 0.80455827713   || 1
dat             | men             | 5.20949029922   <-> 4.72447013855   || 1
men             | zelfs           | 6.20386505127   <-> 6.25860786438   || 0
zelfs           | een             | 2.22379493713   <-> 2.44949197769   || 0
een             | moeras          | 11.4033184052   <-> 11.1003046036   || 1
moeras          | nog             | 7.24598407745   <-> 7.04509496689   || 1
nog             | <UNK>           | 3.60134553909   <-> 3.63069415092   || 0
<UNK>           | kan             | 3.76786518097   <-> 3.92735910416   || 0
kan             | maken           | 3.47864603996   <-> 3.64217758179   || 0
maken           | </s>            | 0.504190027714  <-> 0.553607106209  || 0
<s>             | en              | 4.04374694824   <-> 4.06346845627   || 0
en              | de              | 2.73910093307   <-> 2.372859478     || 1
de              | grote           | 5.2866191864    <-> 5.66559123993   || 0
grote           | Ben             | 12.4940681458   <-> 12.3891353607   || 1
Ben             | <UNK>           | 1.3154488802    <-> 1.07680654526   || 1
<UNK>           | bekeek          | 10.3100662231   <-> 10.749297142    || 0
bekeek          | <UNK>           | 3.27973270416   <-> 3.52910923958   || 0
<UNK>           | met             | 3.28514432907   <-> 3.9094889164    || 0
met             | een             | 1.81956934929   <-> 1.86554574966   || 0
een             | scherpe         | 7.91017436981   <-> 7.48856973648   || 1
scherpe         | blik            | 6.78329086304   <-> 6.0666847229    || 1
blik            | en              | 3.27364778519   <-> 2.85782647133   || 1
en              | sprak           | 8.82983779907   <-> 8.88472366333   || 0
sprak           | </s>            | 4.44679832458   <-> 3.54174661636   || 1
<s>             | het             | 2.77428674698   <-> 2.80581140518   || 0
het             | <UNK>           | 2.46916055679   <-> 2.72140979767   || 0
<UNK>           | te              | 6.36500549316   <-> 6.43301105499   || 0
te              | veel            | 3.89831113815   <-> 3.78134155273   || 1
veel            | </s>            | 3.77647018433   <-> 3.9017033577    || 0
<s>             | toen            | 5.33186531067   <-> 5.63767004013   || 0
toen            | Lee             | 9.71159934998   <-> 9.86322021484   || 0
Lee             | <UNK>           | 1.79892504215   <-> 2.46197962761   || 0
<UNK>           | met             | 4.06631422043   <-> 4.16960144043   || 0
met             | zijn            | 3.23742437363   <-> 3.03185868263   || 1
zijn            | tweede          | 6.2786283493    <-> 5.69098567963   || 1
tweede          | shot            | 10.430478096    <-> 9.86436843872   || 1
shot            | in              | 3.08631825447   <-> 2.63454675674   || 1
in              | de              | 1.14255166054   <-> 1.27688002586   || 0
de              | <UNK>           | 1.97585558891   <-> 2.46698856354   || 0
<UNK>           | belandde        | 8.14335823059   <-> 6.86094379425   || 1
belandde        | en              | 3.46216130257   <-> 2.99365854263   || 1
en              | aan             | 5.38259220123   <-> 5.68066692352   || 0
aan             | zijn            | 3.36362934113   <-> 3.15983963013   || 1
zijn            | <UNK>           | 2.08282542229   <-> 2.48192667961   || 0
<UNK>           | vroeg           | 8.59753513336   <-> 7.69534826279   || 1
vroeg           | </s>            | 2.62732577324   <-> 2.58778333664   || 1
<s>             | heb             | 9.26512145996   <-> 8.9845123291    || 1
heb             | ik              | 0.816192686558  <-> 0.645963549614  || 1
ik              | een             | 2.44790554047   <-> 2.67376303673   || 0
een             | shot            | 10.3662452698   <-> 10.4634027481   || 0
shot            | naar            | 5.93687915802   <-> 5.37920665741   || 1
naar            | de              | 1.60267114639   <-> 1.59971082211   || 1
de              | green           | 12.1746559143   <-> 11.9179639816   || 1
green           | </s>            | 3.13694477081   <-> 2.94020414352   || 1
<s>             | antwoordde      | 11.2398490906   <-> 12.1517953873   || 0
antwoordde      | die             | 5.2583026886    <-> 6.08952903748   || 0
die             | </s>            | 5.09124422073   <-> 5.0657916069    || 1
<s>             | meer            | 6.95656681061   <-> 6.76506996155   || 1
meer            | dan             | 1.33448767662   <-> 0.944964170456  || 1
dan             | één           | 4.18430948257   <-> 3.15924191475   || 1
één           | zelfs           | 9.08692550659   <-> 10.106760025    || 0
zelfs           | </s>            | 3.41484355927   <-> 4.740691185     || 0
<s>             | <UNK>           | 3.099173069     <-> 3.1544175148    || 0
<UNK>           | dat             | 5.36815214157   <-> 6.09206867218   || 0
dat             | is              | 3.22558927536   <-> 3.94864106178   || 0
is              | op              | 4.37382173538   <-> 4.81224250793   || 0
op              | <UNK>           | 3.45521473885   <-> 3.67717885971   || 0
<UNK>           | alles           | 7.31991481781   <-> 7.6118850708    || 0
alles           | wat             | 4.43027114868   <-> 5.01124191284   || 0
wat             | buiten          | 8.33837795258   <-> 7.79126262665   || 1
buiten          | de              | 1.29221463203   <-> 1.24680376053   || 1
de              | green           | 12.2981491089   <-> 12.5469398499   || 0
green           | ligt            | 7.91695070267   <-> 6.86845731735   || 1
ligt            | </s>            | 0.823407590389  <-> 0.642098486423  || 1
<s>             | naar            | 6.81328964233   <-> 6.74612808228   || 1
naar            | de              | 1.19685351849   <-> 1.19757390022   || 0
de              | normen          | 8.98122024536   <-> 7.85828208923   || 1
normen          | van             | 1.09485566616   <-> 1.15056967735   || 0
van             | de              | 1.21581041813   <-> 1.13727116585   || 1
de              | <UNK>           | 1.54997014999   <-> 1.99422943592   || 0
<UNK>           | Amerikaanse     | 9.87573814392   <-> 9.15836715698   || 1
Amerikaanse     | banen           | 9.49955749512   <-> 8.2247505188    || 1
banen           | zijn            | 3.32066273689   <-> 3.75448393822   || 0
zijn            | zelfs           | 6.03791046143   <-> 6.21039867401   || 0
zelfs           | de              | 2.17212367058   <-> 2.45013833046   || 0
de              | <UNK>           | 1.8680485487    <-> 2.34396219254   || 0
<UNK>           | op              | 3.87550354004   <-> 4.309258461     || 0
op              | <UNK>           | 3.01342463493   <-> 3.1704492569    || 0
<UNK>           | te              | 4.40148258209   <-> 4.82899475098   || 0
te              | <UNK>           | 3.47642230988   <-> 4.33214187622   || 0
<UNK>           | als             | 4.58303785324   <-> 4.86687803268   || 0
als             | <UNK>           | 2.12412333488   <-> 2.34206819534   || 0
<UNK>           | </s>            | 1.79665637016   <-> 1.26205646992   || 1
<s>             | <UNK>           | 3.069054842     <-> 3.1544175148    || 0
<UNK>           | zijn            | 4.11580944061   <-> 4.32116270065   || 0
zijn            | er              | 2.98498010635   <-> 2.94785785675   || 1
er              | niet            | 2.68045186996   <-> 2.77159166336   || 0
niet            | </s>            | 3.45383620262   <-> 3.33301782608   || 1
<s>             | wat             | 5.26495742798   <-> 5.26503515244   || 0
wat             | ons             | 6.67902040482   <-> 7.25470924377   || 0
ons             | verplicht       | 8.82487487793   <-> 8.06571388245   || 1
verplicht       | Henry           | 13.4055366516   <-> 15.3135032654   || 0
Henry           | <UNK>           | 2.19589543343   <-> 2.44575786591   || 0
<UNK>           | te              | 3.19556450844   <-> 3.27505040169   || 0
te              | citeren         | 8.28924465179   <-> 8.12417030334   || 1
citeren         | die             | 4.58258152008   <-> 5.10028409958   || 0
die             | de              | 2.38706731796   <-> 2.42841243744   || 0
de              | <UNK>           | 1.8811314106    <-> 2.09522032738   || 0
<UNK>           | omschreef       | 10.3745269775   <-> 10.5290212631   || 0
omschreef       | als             | 4.63240146637   <-> 3.98830842972   || 1
als             | de              | 1.87630403042   <-> 1.85142076015   || 1
de              | dunne           | 10.4722337723   <-> 10.8653793335   || 0
dunne           | strook          | 9.44408988953   <-> 8.79429340363   || 1
strook          | <UNK>           | 2.41910362244   <-> 3.20705461502   || 0
<UNK>           | gras            | 11.5667362213   <-> 10.1761837006   || 1
gras            | die             | 3.89505195618   <-> 4.75596904755   || 0
die             | de              | 2.53268861771   <-> 2.5345146656    || 0
de              | scheiding       | 8.89010620117   <-> 9.13140773773   || 0
scheiding       | vormt           | 7.15167379379   <-> 7.32245159149   || 0
vormt           | tussen          | 4.52476978302   <-> 4.02974510193   || 1
tussen          | twee            | 4.60722923279   <-> 4.56162595749   || 1
twee            | groepen         | 6.26883172989   <-> 6.21531581879   || 1
groepen         | <UNK>           | 3.20665216446   <-> 3.41510462761   || 0
<UNK>           | die             | 3.25909233093   <-> 4.28211545944   || 0
die             | in              | 2.90867066383   <-> 2.86732339859   || 1
in              | the             | 8.35922431946   <-> 8.20467472076   || 1
the             | <UNK>           | 1.10782575607   <-> 0.899810791016  || 1
<UNK>           | naar            | 5.66096448898   <-> 6.03508234024   || 0
naar            | de              | 1.33299958706   <-> 1.50113749504   || 0
de              | bal             | 8.92864990234   <-> 8.58905696869   || 1
bal             | aan             | 5.65813493729   <-> 5.78664970398   || 0
aan             | het             | 2.20291233063   <-> 2.16683149338   || 1
het             | zoeken          | 7.30808448792   <-> 7.11305427551   || 1
zoeken          | zijn            | 3.38778734207   <-> 3.6470208168    || 0
zijn            | </s>            | 1.50609719753   <-> 1.6116001606    || 0
<s>             | <UNK>           | 2.90639543533   <-> 3.1544175148    || 0
<UNK>           | had             | 5.83817863464   <-> 5.08912801743   || 1
had             | wel             | 5.14448451996   <-> 5.14668464661   || 0
wel             | vaker           | 6.80315494537   <-> 7.05210399628   || 0
vaker           | een             | 2.51197862625   <-> 2.63873052597   || 0
een             | scherpe         | 8.13245582581   <-> 7.91995239258   || 1
scherpe         | definitie       | 9.38025093079   <-> 9.14167404175   || 1
definitie       | in              | 3.02225542068   <-> 2.97401833534   || 1
in              | huis            | 5.82412242889   <-> 5.78688240051   || 1
huis            | </s>            | 1.18883371353   <-> 1.4458616972    || 0
<s>             | bijvoorbeeld    | 8.29383659363   <-> 8.1303653717    || 1
bijvoorbeeld    | voor            | 4.17014980316   <-> 4.30864095688   || 0
voor            | een             | 2.26553821564   <-> 2.73183488846   || 0
een             | hole            | 12.88585186     <-> 13.2759399414   || 0
hole            | in              | 3.12068510056   <-> 2.6626996994    || 1
in              | one             | 12.6078929901   <-> 13.0366334915   || 0
one             | </s>            | 3.32478380203   <-> 3.27384996414   || 1
<s>             | bij             | 5.25429725647   <-> 5.10428094864   || 1
bij             | een             | 2.46605324745   <-> 2.73690128326   || 0
een             | <UNK>           | 1.57379615307   <-> 2.22314691544   || 0
<UNK>           | wordt           | 5.02524518967   <-> 4.5633058548    || 1
wordt           | de              | 1.88117599487   <-> 1.89380383492   || 0
de              | bal             | 8.33062458038   <-> 7.71543216705   || 1
bal             | in              | 2.81546998024   <-> 2.72982692719   || 1
in              | één           | 5.95219278336   <-> 5.71595716476   || 1
één           | slag            | 9.7473449707    <-> 9.59793186188   || 1
slag            | vanop           | 9.7206697464    <-> 9.31755256653   || 1
