input           | target          | original0       <-> cbow_exp_lstm0  || best model: 0:first, 1:second
meerdere        | keren           | 5.04628229141   <-> 4.70827865601   || 1
keren           | de              | 3.67147898674   <-> 4.26285600662   || 0
de              | US              | 9.39671325684   <-> 10.1409053802   || 0
US              | Open            | 2.12565779686   <-> 0.788454771042  || 1
Open            | kan             | 5.47592735291   <-> 6.22235965729   || 0
kan             | winnen          | 4.53306245804   <-> 5.17641353607   || 0
winnen          | maar            | 3.8437268734    <-> 3.94131040573   || 0
maar            | slechts         | 7.48210430145   <-> 7.06953811646   || 1
slechts         | één           | 3.52589392662   <-> 3.56238818169   || 0
één           | keer            | 2.68450069427   <-> 2.72191762924   || 0
keer            | voor            | 3.70695161819   <-> 4.00110244751   || 0
voor            | het             | 2.30906772614   <-> 2.33857178688   || 0
het             | eerst           | 3.21472859383   <-> 2.59124493599   || 1
eerst           | vader           | 11.1704492569   <-> 10.3117609024   || 1
vader           | wordt           | 5.81850385666   <-> 5.37944316864   || 1
wordt           | </s>            | 2.04918980598   <-> 2.88694238663   || 0
<s>             | aan             | 6.06126689911   <-> 5.87863636017   || 1
aan             | de              | 0.967080175877  <-> 1.01979470253   || 0
de              | andere          | 5.33539199829   <-> 4.59546661377   || 1
andere          | kant            | 1.05258691311   <-> 1.0758908987    || 0
kant            | alle            | 9.70621585846   <-> 9.11494922638   || 1
alle            | anderen         | 6.48797416687   <-> 6.11861467361   || 1
anderen         | die             | 3.12451839447   <-> 3.11709547043   || 1
die             | vonden          | 8.84224414825   <-> 9.21614074707   || 0
vonden          | dat             | 2.14074850082   <-> 2.46072530746   || 0
dat             | Phil            | 12.3816146851   <-> 11.8231134415   || 1
Phil            | niet            | 5.66497802734   <-> 6.87893915176   || 0
niet            | goed            | 4.83296489716   <-> 5.58564853668   || 0
goed            | bij             | 5.07991600037   <-> 4.64036846161   || 1
bij             | zijn            | 2.97131109238   <-> 2.86219286919   || 1
zijn            | hoofd           | 4.92525482178   <-> 4.50213193893   || 1
hoofd           | was             | 3.22054219246   <-> 3.60461425781   || 0
was             | </s>            | 1.46709322929   <-> 2.10678434372   || 0
<s>             | elke            | 7.3719329834    <-> 7.13075733185   || 1
elke            | <UNK>           | 2.49693894386   <-> 2.57681488991   || 0
<UNK>           | kan             | 4.41711235046   <-> 4.95646095276   || 0
kan             | twee            | 7.76827383041   <-> 6.52410507202   || 1
twee            | keer            | 3.18581414223   <-> 2.75299549103   || 1
keer            | vader           | 12.3617296219   <-> 10.9526863098   || 1
vader           | worden          | 3.28595972061   <-> 4.49913978577   || 0
worden          | maar            | 4.29920768738   <-> 3.93690729141   || 1
maar            | twee            | 5.89506530762   <-> 6.53933143616   || 0
twee            | keer            | 2.95972585678   <-> 2.83850049973   || 1
keer            | de              | 3.64374375343   <-> 4.00930595398   || 0
de              | US              | 8.77681541443   <-> 8.75811290741   || 1
US              | Open            | 1.80782163143   <-> 0.380799740553  || 1
Open            | winnen          | 9.4035243988    <-> 9.15144634247   || 1
winnen          | is              | 4.36618995667   <-> 4.53416633606   || 0
is              | er              | 3.62026357651   <-> 3.31647872925   || 1
er              | minder          | 6.50853919983   <-> 6.16841936111   || 1
minder          | gegeven         | 9.51002502441   <-> 8.79100227356   || 1
gegeven         | </s>            | 0.78783249855   <-> 0.759191215038  || 1
<s>             | alleen          | 6.03627109528   <-> 5.88074398041   || 1
alleen          | Payne           | 14.0653953552   <-> 14.0079050064   || 1
Payne           | Stewart         | 11.4082298279   <-> 10.7506074905   || 1
Stewart         | gaf             | 6.62760162354   <-> 6.20864200592   || 1
gaf             | niet            | 4.92764568329   <-> 4.42788124084   || 1
niet            | geheel          | 9.34635639191   <-> 9.66454601288   || 0
geheel          | belangeloos     | 13.5957555771   <-> 13.1535167694   || 1
belangeloos     | Phil            | 13.0965232849   <-> 12.439743042    || 1
Phil            | gelijk          | 10.4853363037   <-> 10.7262639999   || 0
gelijk          | </s>            | 0.838693797588  <-> 0.927345454693  || 0
<s>             | en              | 4.13496208191   <-> 4.03381443024   || 1
en              | gooide          | 9.44466781616   <-> 10.5101528168   || 0
gooide          | net             | 7.52894639969   <-> 7.31235074997   || 1
net             | voor            | 3.59552097321   <-> 3.09339547157   || 1
voor            | de              | 1.33906650543   <-> 1.46749961376   || 0
de              | slotronde       | 10.856593132    <-> 10.3801279068   || 1
slotronde       | die             | 3.96071863174   <-> 4.3895983696    || 0
die             | uitgerekend     | 10.1016998291   <-> 9.89453697205   || 1
uitgerekend     | op              | 3.36635351181   <-> 3.26100087166   || 1
op              | <UNK>           | 3.38573622704   <-> 3.36970090866   || 1
<UNK>           | gespeeld        | 8.85299873352   <-> 8.42585659027   || 1
gespeeld        | werd            | 2.39431285858   <-> 2.4549677372    || 0
werd            | nog             | 6.99293279648   <-> 6.70156002045   || 1
nog             | wat             | 5.23991584778   <-> 4.90531539917   || 1
wat             | olie            | 10.0004415512   <-> 10.9572019577   || 0
olie            | op              | 3.04242038727   <-> 3.11628222466   || 0
op              | het             | 2.41134309769   <-> 2.18346834183   || 1
het             | vuur            | 6.05781459808   <-> 6.28230762482   || 0
vuur            | door            | 5.33358240128   <-> 6.34984731674   || 0
door            | te              | 4.06710243225   <-> 4.45269298553   || 0
te              | verklaren       | 7.46310520172   <-> 7.57620191574   || 0
verklaren       | </s>            | 0.507872223854  <-> 0.596732199192  || 0
<s>             | ik              | 3.6777806282    <-> 4.44093799591   || 0
ik              | persoonlijk     | 11.0628566742   <-> 11.4281997681   || 0
persoonlijk     | heb             | 5.22067499161   <-> 5.4731836319    || 0
heb             | twee            | 9.87135887146   <-> 7.78330993652   || 1
twee            | kinderen        | 4.72601413727   <-> 4.75610685349   || 0
kinderen        | </s>            | 2.9128973484    <-> 2.42245388031   || 1
<s>             | voor            | 4.61008024216   <-> 4.91292524338   || 0
voor            | geen            | 6.94038486481   <-> 6.54130840302   || 1
geen            | geld            | 6.60421609879   <-> 5.68568325043   || 1
geld            | ter             | 7.73691940308   <-> 7.81808376312   || 0
ter             | wereld          | 1.64414644241   <-> 1.1002188921    || 1
wereld          | had             | 5.27940273285   <-> 4.59230613708   || 1
had             | ik              | 1.56480193138   <-> 1.10941886902   || 1
ik              | hun             | 6.6163187027    <-> 5.33261013031   || 1
hun             | geboorte        | 7.95423603058   <-> 8.03243255615   || 0
geboorte        | willen          | 8.36326980591   <-> 7.6302947998    || 1
willen          | missen          | 6.02937698364   <-> 6.40863180161   || 0
missen          | </s>            | 0.459031254053  <-> 0.470400452614  || 0
<s>             | Engelse         | 10.8350753784   <-> 11.1519107819   || 0
Engelse         | reporters       | 9.80363845825   <-> 9.25215435028   || 1
reporters       | merkten         | 9.46494674683   <-> 8.81519699097   || 1
merkten         | niet            | 3.64935898781   <-> 3.55781650543   || 1
niet            | zonder          | 6.46096134186   <-> 6.64183139801   || 0
zonder          | trots           | 7.64925050735   <-> 7.79988861084   || 0
trots           | op              | 3.19662117958   <-> 2.70212936401   || 1
op              | dat             | 4.37148857117   <-> 3.83291864395   || 1
dat             | de              | 2.05461573601   <-> 2.49744725227   || 0
de              | oude            | 6.55497932434   <-> 6.41071510315   || 1
oude            | Shakespeare     | 11.9171295166   <-> 10.5974254608   || 1
Shakespeare     | het             | 3.99189925194   <-> 3.93038463593   || 1
het             | weer            | 6.40858459473   <-> 6.28345966339   || 1
weer            | eens            | 4.68597507477   <-> 5.31651210785   || 0
eens            | bij             | 5.01121091843   <-> 4.89036512375   || 1
bij             | het             | 2.37588214874   <-> 2.24919104576   || 1
het             | rechte          | 7.84724664688   <-> 7.82466983795   || 1
rechte          | eind            | 7.47991752625   <-> 6.97803497314   || 1
eind            | had             | 4.77333164215   <-> 4.79391670227   || 0
had             | gehad           | 5.31431770325   <-> 4.62805175781   || 1
gehad           | </s>            | 0.394380450249  <-> 0.320108026266  || 1
<s>             | to              | 11.3294458389   <-> 10.805770874    || 1
to              | <UNK>           | 1.44142353535   <-> 1.2559196949    || 1
<UNK>           | or              | 8.89133071899   <-> 7.85223150253   || 1
or              | not             | 6.17292118073   <-> 4.60552167892   || 1
not             | to              | 4.0379858017    <-> 2.68808436394   || 1
to              | <UNK>           | 1.65418243408   <-> 2.37896871567   || 0
<UNK>           | that's          | 11.770740509    <-> 10.8336114883   || 1
that's          | the             | 3.07517528534   <-> 2.34929132462   || 1
the             | <UNK>           | 1.07804965973   <-> 1.24759602547   || 0
<UNK>           | </s>            | 1.8361569643    <-> 1.82143175602   || 1
<s>             | om              | 6.0697722435    <-> 6.2150812149    || 0
om              | een             | 2.28460645676   <-> 2.48311233521   || 0
een             | lang            | 7.43303108215   <-> 7.70961666107   || 0
lang            | verhaal         | 5.82408905029   <-> 5.29749011993   || 1
verhaal         | kort            | 10.3230867386   <-> 10.715007782    || 0
kort            | te              | 1.58019900322   <-> 1.05981779099   || 1
te              | maken           | 3.10155582428   <-> 2.52083992958   || 1
maken           | </s>            | 1.72651791573   <-> 2.69458341599   || 0
<s>             | <UNK>           | 2.94485449791   <-> 2.82138967514   || 1
<UNK>           | werd            | 4.84180164337   <-> 4.78045845032   || 1
werd            | geboren         | 5.46554279327   <-> 5.01338100433   || 1
geboren         | precies         | 11.1026391983   <-> 10.0635480881   || 1
precies         | één           | 6.32513999939   <-> 7.05230140686   || 0
één           | dag             | 5.42344236374   <-> 5.77198076248   || 0
dag             | nadat           | 5.79168224335   <-> 4.58380079269   || 1
nadat           | haar            | 5.27168273926   <-> 4.8933634758    || 1
haar            | vader           | 3.84456825256   <-> 3.33489727974   || 1
vader           | tweede          | 9.65188980103   <-> 9.27007579803   || 1
tweede          | was             | 4.51839256287   <-> 2.92931294441   || 1
was             | geworden        | 6.01367139816   <-> 6.69434499741   || 0
geworden        | in              | 3.3927989006    <-> 3.00696158409   || 1
in              | de              | 1.12737953663   <-> 1.21892273426   || 0
de              | US              | 9.17952728271   <-> 8.47215175629   || 1
US              | Open            | 1.21020889282   <-> 0.22445294261   || 1
Open            | </s>            | 1.18501877785   <-> 1.04614496231   || 1
<s>             | twee            | 5.71243667603   <-> 5.8323764801    || 0
twee            | weken           | 2.87791728973   <-> 3.31121349335   || 0
weken           | voor            | 5.49833440781   <-> 5.06307411194   || 1
voor            | de              | 1.07413554192   <-> 1.172524333     || 0
de              | dokters         | 9.59841156006   <-> 10.379406929    || 0
dokters         | hadden          | 5.04138660431   <-> 4.5291557312    || 1
hadden          | voorspeld       | 11.2751245499   <-> 9.97291946411   || 1
voorspeld       | </s>            | 1.91601967812   <-> 1.91374230385   || 1
<s>             | u               | 7.16249895096   <-> 7.46542453766   || 0
u               | begrijpt        | 6.96430969238   <-> 6.64837884903   || 1
begrijpt        | heren           | 14.2916154861   <-> 14.2125806808   || 1
heren           | sprak           | 11.0587863922   <-> 11.3140487671   || 0
sprak           | de              | 2.48577713966   <-> 2.52363872528   || 0
de              | trotse          | 9.13238048553   <-> 8.49719810486   || 1
trotse          | vader           | 6.25248193741   <-> 4.26807117462   || 1
vader           | tot             | 5.89227437973   <-> 6.32734966278   || 0
tot             | de              | 2.10622644424   <-> 1.92452681065   || 1
de              | verslaggevers   | 11.2891731262   <-> 10.9160699844   || 1
verslaggevers   | die             | 2.73981666565   <-> 3.0483379364    || 0
die             | hem             | 3.76485919952   <-> 4.318110466     || 0
hem             | tot             | 5.60219955444   <-> 5.2638220787    || 1
tot             | in              | 4.4972820282    <-> 4.4464764595    || 1
in              | het             | 2.05546069145   <-> 2.11047506332   || 0
het             | moederhuis      | 11.0226535797   <-> 11.3316936493   || 0
moederhuis      | waren           | 5.73955631256   <-> 4.36834859848   || 1
waren           | gevolgd         | 7.90723133087   <-> 7.58217144012   || 1
gevolgd         | dat             | 7.22231578827   <-> 6.65507555008   || 1
dat             | ik              | 2.95058298111   <-> 3.63992214203   || 0
ik              | in              | 3.41448163986   <-> 2.94487428665   || 1
in              | deze            | 4.82460737228   <-> 4.81292486191   || 1
deze            | omstandigheden  | 6.13669776917   <-> 4.89862585068   || 1
omstandigheden  | niet            | 3.32607460022   <-> 3.18427014351   || 1
niet            | veel            | 4.31454849243   <-> 5.50317382812   || 0
veel            | zin             | 5.62351417542   <-> 7.12927389145   || 0
zin             | had             | 3.00212931633   <-> 1.66997146606   || 1
had             | om              | 2.94097900391   <-> 3.07456803322   || 0
om              | een             | 2.37722849846   <-> 2.61770439148   || 0
een             | <UNK>           | 1.94490993023   <-> 2.15893983841   || 0
<UNK>           | af              | 4.83900117874   <-> 4.51746225357   || 1
af              | te              | 0.191646739841  <-> 0.0713702365756 || 1
te              | dwingen         | 5.40725517273   <-> 3.58291649818   || 1
dwingen         | </s>            | 0.658026814461  <-> 0.472176015377  || 1
<s>             | een             | 3.55916833878   <-> 3.70763325691   || 0
een             | <UNK>           | 1.79831528664   <-> 2.13177728653   || 0
<UNK>           | in              | 3.18404889107   <-> 3.29151558876   || 0
in              | de              | 1.18761634827   <-> 1.13362395763   || 1
de              | US              | 9.68999671936   <-> 8.59229373932   || 1
US              | Open            | 1.54856288433   <-> 0.231047570705  || 1
Open            | betekent        | 8.56693744659   <-> 7.46777439117   || 1
betekent        | een             | 3.0884885788    <-> 2.71469640732   || 1
een             | extra           | 7.4422492981    <-> 7.25764465332   || 1
extra           | rondje          | 9.42015647888   <-> 9.99171447754   || 0
rondje          | van             | 3.89423847198   <-> 3.35131978989   || 1
van             | achttien        | 7.67991161346   <-> 6.42867326736   || 1
achttien        | holes           | 12.5654220581   <-> 10.2510356903   || 1
holes           | op              | 3.61598992348   <-> 3.33311724663   || 1
op              | maandag         | 8.1324224472    <-> 6.6736907959    || 1
maandag         | </s>            | 0.988341033459  <-> 1.00791811943   || 0
<s>             | de              | 1.9801145792    <-> 1.79762613773   || 1
de              | eerste          | 3.86102986336   <-> 3.8190600872    || 1
eerste          | twee            | 4.86301898956   <-> 4.83279848099   || 1
twee            | majors          | 12.3134117126   <-> 11.9356641769   || 1
majors          | van             | 2.88237428665   <-> 2.64796233177   || 1
van             | het             | 2.3485789299    <-> 2.26710915565   || 1
het             | seizoen         | 5.53348588943   <-> 4.36202812195   || 1
seizoen         | hebben          | 3.97832226753   <-> 3.60487365723   || 1
hebben          | we              | 4.05107879639   <-> 3.98523187637   || 1
we              | dus             | 6.34724521637   <-> 6.25825452805   || 1
dus             | gehad           | 7.39632034302   <-> 7.52891731262   || 0
gehad           | </s>            | 1.22218453884   <-> 0.824055492878  || 1
<s>             | dit             | 5.45897293091   <-> 5.18152236938   || 1
dit             | weekend         | 4.24001932144   <-> 3.30072331429   || 1
weekend         | staat           | 5.25172710419   <-> 5.36507701874   || 0
staat           | de              | 2.08540248871   <-> 1.4580950737    || 1
de              | derde           | 5.83497047424   <-> 5.92749977112   || 0
derde           | van             | 3.02879714966   <-> 3.8952870369    || 0
van             | de              | 0.925002455711  <-> 0.818657279015  || 1
de              | vier            | 5.53453826904   <-> 4.4944319725    || 1
vier            | op              | 6.08304834366   <-> 5.36544513702   || 1
op              | het             | 2.35176253319   <-> 2.30087995529   || 1
het             | programma       | 4.52687931061   <-> 4.02907657623   || 1
programma       | </s>            | 1.21130418777   <-> 1.11225247383   || 1
<s>             | de              | 2.00391411781   <-> 1.96208226681   || 1
de              | British         | 10.8079156876   <-> 10.6145687103   || 1
British         | Open            | 5.4313249588    <-> 2.72041559219   || 1
Open            | </s>            | 3.63647556305   <-> 3.43443226814   || 1
<s>             | gespeeld        | 11.7954416275   <-> 11.5068359375   || 1
gespeeld        | op              | 3.43091917038   <-> 2.64282512665   || 1
op              | de              | 1.34651505947   <-> 1.37428605556   || 0
de              | authentieke     | 10.5632505417   <-> 10.1725673676   || 1
authentieke     | <UNK>           | 1.51115739346   <-> 1.59366297722   || 0
<UNK>           | van             | 2.16690826416   <-> 1.74810683727   || 1
van             | <UNK>           | 2.12115097046   <-> 2.28590345383   || 0
<UNK>           | aan             | 6.08774662018   <-> 5.94909572601   || 1
aan             | de              | 1.08539581299   <-> 1.14506578445   || 0
de              | Schotse         | 8.12835407257   <-> 8.04106521606   || 1
Schotse         | kust            | 5.11624145508   <-> 4.2353477478    || 1
kust            | </s>            | 1.26672172546   <-> 1.41558563709   || 0
<s>             | een             | 3.4842312336    <-> 3.38280963898   || 1
een             | baan            | 8.51996517181   <-> 8.53209686279   || 0
baan            | waar            | 5.72861385345   <-> 5.11101150513   || 1
waar            | ze              | 3.59758996964   <-> 3.29392147064   || 1
ze              | geen            | 4.52241420746   <-> 4.70218753815   || 0
geen            | enkele          | 4.15759658813   <-> 3.28870081902   || 1
enkele          | kunstmatige     | 11.3046483994   <-> 10.8618078232   || 1
kunstmatige     | hindernis       | 9.20933151245   <-> 8.63522434235   || 1
hindernis       | hebben          | 3.67126584053   <-> 2.70327949524   || 1
hebben          | gelegd          | 6.57286453247   <-> 7.37009954453   || 0
gelegd          | omdat           | 5.82122135162   <-> 5.71004581451   || 1
omdat           | er              | 3.30686211586   <-> 2.83069610596   || 1
er              | een             | 2.03215050697   <-> 2.11910557747   || 0
een             | natuurlijke     | 8.63272666931   <-> 8.03062820435   || 1
natuurlijke     | hindernis       | 8.82058906555   <-> 8.62574195862   || 1
hindernis       | is              | 2.34723234177   <-> 2.16744041443   || 1
is              | die             | 4.69205760956   <-> 4.6122045517    || 1
die             | al              | 4.72787666321   <-> 4.64684820175   || 1
al              | haar            | 6.27339172363   <-> 6.04768180847   || 1
haar            | kunstmatige     | 11.1279430389   <-> 10.9130401611   || 1
kunstmatige     | collega's       | 7.32447433472   <-> 7.61932706833   || 0
collega's       | overbodig       | 10.7160491943   <-> 9.8345489502    || 1
overbodig       | maakt           | 4.82308483124   <-> 4.31757736206   || 1
maakt           | </s>            | 0.508046746254  <-> 0.564298570156  || 0
<s>             | de              | 1.81554150581   <-> 2.11442160606   || 0
de              | felle           | 9.7167673111    <-> 9.71079444885   || 1
felle           | <UNK>           | 1.95081067085   <-> 2.17704868317   || 0
<UNK>           | </s>            | 4.82036161423   <-> 3.87054109573   || 1
<s>             | verder          | 7.81018686295   <-> 7.18242931366   || 1
verder          | maaien          | 12.882932663    <-> 12.3573036194   || 1
maaien          | ze              | 3.17893409729   <-> 2.70608758926   || 1
ze              | het             | 3.59674668312   <-> 3.0042963028    || 1
het             | gras            | 8.10857200623   <-> 7.18917179108   || 1
gras            | één           | 8.0431137085    <-> 8.48484516144   || 0
één           | keer            | 3.38870716095   <-> 4.20474004745   || 0
keer            | per             | 4.96728897095   <-> 4.0904340744    || 1
per             | jaar            | 1.97182166576   <-> 2.18393707275   || 0
jaar            | en              | 3.26977491379   <-> 3.46205854416   || 0
en              | dat             | 3.89374303818   <-> 3.84474563599   || 1
dat             | is              | 2.41782426834   <-> 2.20331430435   || 1
is              | zeker           | 5.84727430344   <-> 6.06992435455   || 0
zeker           | niet            | 2.75344181061   <-> 2.56972384453   || 1
niet            | voor            | 3.64522433281   <-> 4.20357227325   || 0
voor            | de              | 1.10945439339   <-> 1.46849429607   || 0
de              | Open            | 9.82479190826   <-> 9.63052845001   || 1
Open            | </s>            | 2.29164552689   <-> 1.83823215961   || 1
<s>             | Schotten        | 13.5833330154   <-> 13.044095993    || 1
Schotten        | zijn            | 2.84071016312   <-> 2.70465373993   || 1
zijn            | zondag          | 7.26650047302   <-> 8.59691810608   || 0
zondag          | </s>            | 3.03614139557   <-> 3.38404250145   || 0
<s>             | voor            | 4.55999040604   <-> 4.57579135895   || 0
voor            | hen             | 5.52080154419   <-> 6.24904918671   || 0
hen             | was             | 3.8390994072    <-> 3.92202305794   || 0
was             | de              | 1.69835925102   <-> 1.53534579277   || 1
de              | beste           | 5.55987358093   <-> 5.47576522827   || 1
beste           | <UNK>           | 2.03463101387   <-> 2.51891231537   || 0
<UNK>           | <UNK>           | 2.9161593914    <-> 3.39473295212   || 0
<UNK>           | Natuur          | 13.1763677597   <-> 13.790517807    || 0
Natuur          | </s>            | 1.29532837868   <-> 1.14191389084   || 1
<s>             | Gary            | 10.7526025772   <-> 10.6992883682   || 1
Gary            | Player          | 11.8327035904   <-> 11.291762352    || 1
Player          | vatte           | 9.49740028381   <-> 9.75911140442   || 0
vatte           | het             | 2.82582688332   <-> 2.83849358559   || 0
het             | zo              | 5.83306598663   <-> 6.51746797562   || 0
zo              | samen           | 6.89411449432   <-> 6.87699651718   || 1
samen           | </s>            | 2.02777552605   <-> 2.7412340641    || 0
<s>             | <UNK>           | 3.07802700996   <-> 2.86215305328   || 1
<UNK>           | is              | 3.07420682907   <-> 3.39238476753   || 0
is              | het             | 3.13387346268   <-> 3.16507816315   || 0
het             | bewijs          | 6.72347640991   <-> 6.82175350189   || 0
bewijs          | dat             | 1.24892246723   <-> 0.761588931084  || 1
dat             | men             | 5.20949029922   <-> 4.95765829086   || 1
men             | zelfs           | 6.20386505127   <-> 6.17658615112   || 1
zelfs           | een             | 2.22379493713   <-> 2.24277687073   || 0
een             | moeras          | 11.4033184052   <-> 11.646903038    || 0
moeras          | nog             | 7.24598407745   <-> 7.33093357086   || 0
nog             | <UNK>           | 3.60134553909   <-> 3.5089097023    || 1
<UNK>           | kan             | 3.76786518097   <-> 4.18412685394   || 0
kan             | maken           | 3.47864603996   <-> 3.45585203171   || 1
maken           | </s>            | 0.504190027714  <-> 0.604194998741  || 0
<s>             | en              | 4.04374694824   <-> 3.98849058151   || 1
en              | de              | 2.73910093307   <-> 2.40051221848   || 1
de              | grote           | 5.2866191864    <-> 5.25200128555   || 1
grote           | Ben             | 12.4940681458   <-> 11.7952127457   || 1
Ben             | <UNK>           | 1.3154488802    <-> 0.919868886471  || 1
<UNK>           | bekeek          | 10.3100662231   <-> 10.8416576385   || 0
bekeek          | <UNK>           | 3.27973270416   <-> 3.67421531677   || 0
<UNK>           | met             | 3.28514432907   <-> 3.77104139328   || 0
met             | een             | 1.81956934929   <-> 1.92771911621   || 0
een             | scherpe         | 7.91017436981   <-> 7.48605203629   || 1
scherpe         | blik            | 6.78329086304   <-> 6.58783102036   || 1
blik            | en              | 3.27364778519   <-> 2.89913749695   || 1
en              | sprak           | 8.82983779907   <-> 8.86273193359   || 0
sprak           | </s>            | 4.44679832458   <-> 3.71557641029   || 1
<s>             | het             | 2.77428674698   <-> 2.92411828041   || 0
het             | <UNK>           | 2.46916055679   <-> 2.50128936768   || 0
<UNK>           | te              | 6.36500549316   <-> 6.29085159302   || 1
te              | veel            | 3.89831113815   <-> 3.24497723579   || 1
veel            | </s>            | 3.77647018433   <-> 3.53181600571   || 1
<s>             | toen            | 5.33186531067   <-> 5.25033855438   || 1
toen            | Lee             | 9.71159934998   <-> 9.4580450058    || 1
Lee             | <UNK>           | 1.79892504215   <-> 2.13556981087   || 0
<UNK>           | met             | 4.06631422043   <-> 4.28196620941   || 0
met             | zijn            | 3.23742437363   <-> 3.1651968956    || 1
zijn            | tweede          | 6.2786283493    <-> 5.87696552277   || 1
tweede          | shot            | 10.430478096    <-> 9.90060043335   || 1
shot            | in              | 3.08631825447   <-> 2.67800188065   || 1
in              | de              | 1.14255166054   <-> 1.32080662251   || 0
de              | <UNK>           | 1.97585558891   <-> 2.19277858734   || 0
<UNK>           | belandde        | 8.14335823059   <-> 6.99747467041   || 1
belandde        | en              | 3.46216130257   <-> 3.62989711761   || 0
en              | aan             | 5.38259220123   <-> 5.68255281448   || 0
aan             | zijn            | 3.36362934113   <-> 3.23443460464   || 1
zijn            | <UNK>           | 2.08282542229   <-> 2.43817687035   || 0
<UNK>           | vroeg           | 8.59753513336   <-> 7.38461875916   || 1
vroeg           | </s>            | 2.62732577324   <-> 2.54153347015   || 1
<s>             | heb             | 9.26512145996   <-> 8.60742759705   || 1
heb             | ik              | 0.816192686558  <-> 0.418026059866  || 1
ik              | een             | 2.44790554047   <-> 2.44680404663   || 1
een             | shot            | 10.3662452698   <-> 10.4700508118   || 0
shot            | naar            | 5.93687915802   <-> 5.6403875351    || 1
naar            | de              | 1.60267114639   <-> 1.45956552029   || 1
de              | green           | 12.1746559143   <-> 12.2570381165   || 0
green           | </s>            | 3.13694477081   <-> 2.51287412643   || 1
<s>             | antwoordde      | 11.2398490906   <-> 11.4204406738   || 0
antwoordde      | die             | 5.2583026886    <-> 5.74238204956   || 0
die             | </s>            | 5.09124422073   <-> 5.32223367691   || 0
<s>             | meer            | 6.95656681061   <-> 6.72890377045   || 1
meer            | dan             | 1.33448767662   <-> 0.732421398163  || 1
dan             | één           | 4.18430948257   <-> 4.34382677078   || 0
één           | zelfs           | 9.08692550659   <-> 9.75426387787   || 0
zelfs           | </s>            | 3.41484355927   <-> 4.12432718277   || 0
<s>             | <UNK>           | 3.099173069     <-> 3.26026797295   || 0
<UNK>           | dat             | 5.36815214157   <-> 5.20606803894   || 1
dat             | is              | 3.22558927536   <-> 4.08240365982   || 0
is              | op              | 4.37382173538   <-> 4.72109985352   || 0
op              | <UNK>           | 3.45521473885   <-> 3.41509580612   || 1
<UNK>           | alles           | 7.31991481781   <-> 7.19839525223   || 1
alles           | wat             | 4.43027114868   <-> 4.8534579277    || 0
wat             | buiten          | 8.33837795258   <-> 7.9657034874    || 1
buiten          | de              | 1.29221463203   <-> 1.32783830166   || 0
de              | green           | 12.2981491089   <-> 12.4847431183   || 0
green           | ligt            | 7.91695070267   <-> 6.16125869751   || 1
ligt            | </s>            | 0.823407590389  <-> 0.632213294506  || 1
<s>             | naar            | 6.81328964233   <-> 6.57261276245   || 1
naar            | de              | 1.19685351849   <-> 1.19789993763   || 0
de              | normen          | 8.98122024536   <-> 8.22438049316   || 1
normen          | van             | 1.09485566616   <-> 1.2590225935    || 0
van             | de              | 1.21581041813   <-> 0.951815724373  || 1
de              | <UNK>           | 1.54997014999   <-> 1.74582731724   || 0
<UNK>           | Amerikaanse     | 9.87573814392   <-> 10.7410697937   || 0
Amerikaanse     | banen           | 9.49955749512   <-> 10.1296520233   || 0
banen           | zijn            | 3.32066273689   <-> 3.85710334778   || 0
zijn            | zelfs           | 6.03791046143   <-> 5.9778213501    || 1
zelfs           | de              | 2.17212367058   <-> 2.3449742794    || 0
de              | <UNK>           | 1.8680485487    <-> 2.21956682205   || 0
<UNK>           | op              | 3.87550354004   <-> 4.00945711136   || 0
op              | <UNK>           | 3.01342463493   <-> 3.33622074127   || 0
<UNK>           | te              | 4.40148258209   <-> 4.35943508148   || 1
te              | <UNK>           | 3.47642230988   <-> 4.91111564636   || 0
<UNK>           | als             | 4.58303785324   <-> 4.2317943573    || 1
als             | <UNK>           | 2.12412333488   <-> 2.38110399246   || 0
<UNK>           | </s>            | 1.79665637016   <-> 0.9603972435    || 1
<s>             | <UNK>           | 3.069054842     <-> 3.15155959129   || 0
<UNK>           | zijn            | 4.11580944061   <-> 4.20490598679   || 0
zijn            | er              | 2.98498010635   <-> 2.93977403641   || 1
er              | niet            | 2.68045186996   <-> 2.60067272186   || 1
niet            | </s>            | 3.45383620262   <-> 4.0694026947    || 0
<s>             | wat             | 5.26495742798   <-> 5.00577735901   || 1
wat             | ons             | 6.67902040482   <-> 6.32561206818   || 1
ons             | verplicht       | 8.82487487793   <-> 8.51123142242   || 1
verplicht       | Henry           | 13.4055366516   <-> 15.3374633789   || 0
Henry           | <UNK>           | 2.19589543343   <-> 2.03614521027   || 1
<UNK>           | te              | 3.19556450844   <-> 2.60895752907   || 1
te              | citeren         | 8.28924465179   <-> 8.36159324646   || 0
citeren         | die             | 4.58258152008   <-> 5.06785202026   || 0
die             | de              | 2.38706731796   <-> 2.24746155739   || 1
de              | <UNK>           | 1.8811314106    <-> 2.11809420586   || 0
<UNK>           | omschreef       | 10.3745269775   <-> 11.8658332825   || 0
omschreef       | als             | 4.63240146637   <-> 4.13883733749   || 1
als             | de              | 1.87630403042   <-> 1.95788729191   || 0
de              | dunne           | 10.4722337723   <-> 10.9605951309   || 0
