input           | target          | original0       <-> cbow_mean_lstm0 || best model: 0:first, 1:second
de              | US              | 9.39671325684   <-> 8.98434257507   || 1
US              | Open            | 2.12565779686   <-> 0.916746795177  || 1
Open            | kan             | 5.47592735291   <-> 5.72880649567   || 0
kan             | winnen          | 4.53306245804   <-> 4.74645900726   || 0
winnen          | maar            | 3.8437268734    <-> 4.33939361572   || 0
maar            | slechts         | 7.48210430145   <-> 6.99226045609   || 1
slechts         | één           | 3.52589392662   <-> 3.3215007782    || 1
één           | keer            | 2.68450069427   <-> 2.15851068497   || 1
keer            | voor            | 3.70695161819   <-> 4.00253295898   || 0
voor            | het             | 2.30906772614   <-> 2.38776063919   || 0
het             | eerst           | 3.21472859383   <-> 2.93550109863   || 1
eerst           | vader           | 11.1704492569   <-> 10.2013463974   || 1
vader           | wordt           | 5.81850385666   <-> 5.57059907913   || 1
wordt           | </s>            | 2.04918980598   <-> 1.73214697838   || 1
<s>             | aan             | 6.06126689911   <-> 5.82652330399   || 1
aan             | de              | 0.967080175877  <-> 1.03973460197   || 0
de              | andere          | 5.33539199829   <-> 4.43477392197   || 1
andere          | kant            | 1.05258691311   <-> 0.818950891495  || 1
kant            | alle            | 9.70621585846   <-> 10.0219507217   || 0
alle            | anderen         | 6.48797416687   <-> 6.06597948074   || 1
anderen         | die             | 3.12451839447   <-> 3.20712828636   || 0
die             | vonden          | 8.84224414825   <-> 9.41347408295   || 0
vonden          | dat             | 2.14074850082   <-> 2.50242328644   || 0
dat             | Phil            | 12.3816146851   <-> 11.5210266113   || 1
Phil            | niet            | 5.66497802734   <-> 5.56720352173   || 1
niet            | goed            | 4.83296489716   <-> 4.75965118408   || 1
goed            | bij             | 5.07991600037   <-> 4.82718467712   || 1
bij             | zijn            | 2.97131109238   <-> 2.9398431778    || 1
zijn            | hoofd           | 4.92525482178   <-> 4.89848899841   || 1
hoofd           | was             | 3.22054219246   <-> 3.21746563911   || 1
was             | </s>            | 1.46709322929   <-> 1.27172553539   || 1
<s>             | elke            | 7.3719329834    <-> 7.07000589371   || 1
elke            | <UNK>           | 2.49693894386   <-> 2.53961658478   || 0
<UNK>           | kan             | 4.41711235046   <-> 4.67043399811   || 0
kan             | twee            | 7.76827383041   <-> 6.5843873024    || 1
twee            | keer            | 3.18581414223   <-> 2.73094153404   || 1
keer            | vader           | 12.3617296219   <-> 11.4299507141   || 1
vader           | worden          | 3.28595972061   <-> 4.52437639236   || 0
worden          | maar            | 4.29920768738   <-> 4.41985034943   || 0
maar            | twee            | 5.89506530762   <-> 6.17120933533   || 0
twee            | keer            | 2.95972585678   <-> 2.71358418465   || 1
keer            | de              | 3.64374375343   <-> 3.45941352844   || 1
de              | US              | 8.77681541443   <-> 7.22335338593   || 1
US              | Open            | 1.80782163143   <-> 0.562399208546  || 1
Open            | winnen          | 9.4035243988    <-> 8.47529411316   || 1
winnen          | is              | 4.36618995667   <-> 4.82247591019   || 0
is              | er              | 3.62026357651   <-> 3.47757673264   || 1
er              | minder          | 6.50853919983   <-> 5.42503166199   || 1
minder          | gegeven         | 9.51002502441   <-> 9.3139257431    || 1
gegeven         | </s>            | 0.78783249855   <-> 0.794588804245  || 0
<s>             | alleen          | 6.03627109528   <-> 5.89215707779   || 1
alleen          | Payne           | 14.0653953552   <-> 14.2595920563   || 0
Payne           | Stewart         | 11.4082298279   <-> 11.5406093597   || 0
Stewart         | gaf             | 6.62760162354   <-> 6.09524011612   || 1
gaf             | niet            | 4.92764568329   <-> 4.39725732803   || 1
niet            | geheel          | 9.34635639191   <-> 9.6181306839    || 0
geheel          | belangeloos     | 13.5957555771   <-> 13.4085998535   || 1
belangeloos     | Phil            | 13.0965232849   <-> 12.6906890869   || 1
Phil            | gelijk          | 10.4853363037   <-> 10.6897926331   || 0
gelijk          | </s>            | 0.838693797588  <-> 0.843057990074  || 0
<s>             | en              | 4.13496208191   <-> 3.97686195374   || 1
en              | gooide          | 9.44466781616   <-> 10.6870641708   || 0
gooide          | net             | 7.52894639969   <-> 7.39876461029   || 1
net             | voor            | 3.59552097321   <-> 3.40026903152   || 1
voor            | de              | 1.33906650543   <-> 1.43451964855   || 0
de              | slotronde       | 10.856593132    <-> 9.69192504883   || 1
slotronde       | die             | 3.96071863174   <-> 4.16658687592   || 0
die             | uitgerekend     | 10.1016998291   <-> 9.8864774704    || 1
uitgerekend     | op              | 3.36635351181   <-> 3.21023845673   || 1
op              | <UNK>           | 3.38573622704   <-> 3.51728868484   || 0
<UNK>           | gespeeld        | 8.85299873352   <-> 8.17780017853   || 1
gespeeld        | werd            | 2.39431285858   <-> 2.69268965721   || 0
werd            | nog             | 6.99293279648   <-> 7.02585601807   || 0
nog             | wat             | 5.23991584778   <-> 5.07003831863   || 1
wat             | olie            | 10.0004415512   <-> 10.3861522675   || 0
olie            | op              | 3.04242038727   <-> 3.27313017845   || 0
op              | het             | 2.41134309769   <-> 2.41363334656   || 0
het             | vuur            | 6.05781459808   <-> 5.92035865784   || 1
vuur            | door            | 5.33358240128   <-> 6.23670434952   || 0
door            | te              | 4.06710243225   <-> 3.85734272003   || 1
te              | verklaren       | 7.46310520172   <-> 7.48425865173   || 0
verklaren       | </s>            | 0.507872223854  <-> 0.585951507092  || 0
<s>             | ik              | 3.6777806282    <-> 3.82875585556   || 0
ik              | persoonlijk     | 11.0628566742   <-> 10.7876253128   || 1
persoonlijk     | heb             | 5.22067499161   <-> 5.20542430878   || 1
heb             | twee            | 9.87135887146   <-> 6.27451753616   || 1
twee            | kinderen        | 4.72601413727   <-> 5.22912740707   || 0
kinderen        | </s>            | 2.9128973484    <-> 3.19425272942   || 0
<s>             | voor            | 4.61008024216   <-> 4.71088600159   || 0
voor            | geen            | 6.94038486481   <-> 6.70960330963   || 1
geen            | geld            | 6.60421609879   <-> 5.75266647339   || 1
geld            | ter             | 7.73691940308   <-> 7.63208961487   || 1
ter             | wereld          | 1.64414644241   <-> 0.944058895111  || 1
wereld          | had             | 5.27940273285   <-> 4.62991189957   || 1
had             | ik              | 1.56480193138   <-> 2.28740596771   || 0
ik              | hun             | 6.6163187027    <-> 5.77576065063   || 1
hun             | geboorte        | 7.95423603058   <-> 8.78483486176   || 0
geboorte        | willen          | 8.36326980591   <-> 7.25148153305   || 1
willen          | missen          | 6.02937698364   <-> 5.49063205719   || 1
missen          | </s>            | 0.459031254053  <-> 0.369831740856  || 1
<s>             | Engelse         | 10.8350753784   <-> 10.1547031403   || 1
Engelse         | reporters       | 9.80363845825   <-> 9.18108558655   || 1
reporters       | merkten         | 9.46494674683   <-> 8.80066394806   || 1
merkten         | niet            | 3.64935898781   <-> 3.47450518608   || 1
niet            | zonder          | 6.46096134186   <-> 7.00413417816   || 0
zonder          | trots           | 7.64925050735   <-> 7.8317155838    || 0
trots           | op              | 3.19662117958   <-> 2.75496578217   || 1
op              | dat             | 4.37148857117   <-> 3.21992349625   || 1
dat             | de              | 2.05461573601   <-> 2.14040184021   || 0
de              | oude            | 6.55497932434   <-> 6.92098712921   || 0
oude            | Shakespeare     | 11.9171295166   <-> 11.0459032059   || 1
Shakespeare     | het             | 3.99189925194   <-> 3.90910625458   || 1
het             | weer            | 6.40858459473   <-> 6.10728931427   || 1
weer            | eens            | 4.68597507477   <-> 4.94903278351   || 0
eens            | bij             | 5.01121091843   <-> 4.9930562973    || 1
bij             | het             | 2.37588214874   <-> 2.27506780624   || 1
het             | rechte          | 7.84724664688   <-> 7.41869211197   || 1
rechte          | eind            | 7.47991752625   <-> 6.47710514069   || 1
eind            | had             | 4.77333164215   <-> 4.6053609848    || 1
had             | gehad           | 5.31431770325   <-> 4.66058158875   || 1
gehad           | </s>            | 0.394380450249  <-> 0.338036209345  || 1
<s>             | to              | 11.3294458389   <-> 10.5807762146   || 1
to              | <UNK>           | 1.44142353535   <-> 1.5779209137    || 0
<UNK>           | or              | 8.89133071899   <-> 9.23491096497   || 0
or              | not             | 6.17292118073   <-> 5.10754108429   || 1
not             | to              | 4.0379858017    <-> 3.2363216877    || 1
to              | <UNK>           | 1.65418243408   <-> 2.24725031853   || 0
<UNK>           | that's          | 11.770740509    <-> 10.8269262314   || 1
that's          | the             | 3.07517528534   <-> 2.25322246552   || 1
the             | <UNK>           | 1.07804965973   <-> 1.37642276287   || 0
<UNK>           | </s>            | 1.8361569643    <-> 2.28293371201   || 0
<s>             | om              | 6.0697722435    <-> 5.87548971176   || 1
om              | een             | 2.28460645676   <-> 2.45182609558   || 0
een             | lang            | 7.43303108215   <-> 7.87693786621   || 0
lang            | verhaal         | 5.82408905029   <-> 6.13447380066   || 0
verhaal         | kort            | 10.3230867386   <-> 10.4656553268   || 0
kort            | te              | 1.58019900322   <-> 1.11797523499   || 1
te              | maken           | 3.10155582428   <-> 2.8704559803    || 1
maken           | </s>            | 1.72651791573   <-> 1.97473788261   || 0
<s>             | <UNK>           | 2.94485449791   <-> 2.91592979431   || 1
<UNK>           | werd            | 4.84180164337   <-> 4.44412612915   || 1
werd            | geboren         | 5.46554279327   <-> 5.6550951004    || 0
geboren         | precies         | 11.1026391983   <-> 9.77120304108   || 1
precies         | één           | 6.32513999939   <-> 6.47657585144   || 0
één           | dag             | 5.42344236374   <-> 5.34749317169   || 1
dag             | nadat           | 5.79168224335   <-> 5.07811021805   || 1
nadat           | haar            | 5.27168273926   <-> 4.55286169052   || 1
haar            | vader           | 3.84456825256   <-> 3.11420726776   || 1
vader           | tweede          | 9.65188980103   <-> 8.63417243958   || 1
tweede          | was             | 4.51839256287   <-> 4.29057979584   || 1
was             | geworden        | 6.01367139816   <-> 5.98277282715   || 1
geworden        | in              | 3.3927989006    <-> 3.09231901169   || 1
in              | de              | 1.12737953663   <-> 1.32016587257   || 0
de              | US              | 9.17952728271   <-> 8.66057395935   || 1
US              | Open            | 1.21020889282   <-> 0.284300386906  || 1
Open            | </s>            | 1.18501877785   <-> 0.854022681713  || 1
<s>             | twee            | 5.71243667603   <-> 6.10295629501   || 0
twee            | weken           | 2.87791728973   <-> 3.93105459213   || 0
weken           | voor            | 5.49833440781   <-> 4.9896531105    || 1
voor            | de              | 1.07413554192   <-> 1.30052018166   || 0
de              | dokters         | 9.59841156006   <-> 9.04445743561   || 1
dokters         | hadden          | 5.04138660431   <-> 5.02718067169   || 1
hadden          | voorspeld       | 11.2751245499   <-> 10.8437690735   || 1
voorspeld       | </s>            | 1.91601967812   <-> 1.78280591965   || 1
<s>             | u               | 7.16249895096   <-> 6.97099494934   || 1
u               | begrijpt        | 6.96430969238   <-> 6.67431735992   || 1
begrijpt        | heren           | 14.2916154861   <-> 13.7244539261   || 1
heren           | sprak           | 11.0587863922   <-> 12.3905706406   || 0
sprak           | de              | 2.48577713966   <-> 2.17059874535   || 1
de              | trotse          | 9.13238048553   <-> 8.64744186401   || 1
trotse          | vader           | 6.25248193741   <-> 4.81761264801   || 1
vader           | tot             | 5.89227437973   <-> 5.73927783966   || 1
tot             | de              | 2.10622644424   <-> 2.03107476234   || 1
de              | verslaggevers   | 11.2891731262   <-> 11.171339035    || 1
verslaggevers   | die             | 2.73981666565   <-> 2.95397853851   || 0
die             | hem             | 3.76485919952   <-> 4.11699295044   || 0
hem             | tot             | 5.60219955444   <-> 5.10078525543   || 1
tot             | in              | 4.4972820282    <-> 3.97576904297   || 1
in              | het             | 2.05546069145   <-> 2.01690244675   || 1
het             | moederhuis      | 11.0226535797   <-> 10.8355569839   || 1
moederhuis      | waren           | 5.73955631256   <-> 5.43832778931   || 1
waren           | gevolgd         | 7.90723133087   <-> 7.51482009888   || 1
gevolgd         | dat             | 7.22231578827   <-> 6.01472568512   || 1
dat             | ik              | 2.95058298111   <-> 3.66323494911   || 0
ik              | in              | 3.41448163986   <-> 3.01012182236   || 1
in              | deze            | 4.82460737228   <-> 4.36511945724   || 1
deze            | omstandigheden  | 6.13669776917   <-> 5.68557739258   || 1
omstandigheden  | niet            | 3.32607460022   <-> 3.5817258358    || 0
niet            | veel            | 4.31454849243   <-> 4.5822892189    || 0
veel            | zin             | 5.62351417542   <-> 6.48528671265   || 0
zin             | had             | 3.00212931633   <-> 2.22896075249   || 1
had             | om              | 2.94097900391   <-> 2.84280872345   || 1
om              | een             | 2.37722849846   <-> 2.49210453033   || 0
een             | <UNK>           | 1.94490993023   <-> 2.16481423378   || 0
<UNK>           | af              | 4.83900117874   <-> 4.79307937622   || 1
af              | te              | 0.191646739841  <-> 0.0863505080342 || 1
te              | dwingen         | 5.40725517273   <-> 4.37236690521   || 1
dwingen         | </s>            | 0.658026814461  <-> 0.473156750202  || 1
<s>             | een             | 3.55916833878   <-> 3.6958591938    || 0
een             | <UNK>           | 1.79831528664   <-> 2.00581431389   || 0
<UNK>           | in              | 3.18404889107   <-> 3.20993423462   || 0
in              | de              | 1.18761634827   <-> 1.1973593235    || 0
de              | US              | 9.68999671936   <-> 8.02657222748   || 1
US              | Open            | 1.54856288433   <-> 0.198136344552  || 1
Open            | betekent        | 8.56693744659   <-> 8.97247695923   || 0
betekent        | een             | 3.0884885788    <-> 3.02505970001   || 1
een             | extra           | 7.4422492981    <-> 6.84693145752   || 1
extra           | rondje          | 9.42015647888   <-> 10.2104730606   || 0
rondje          | van             | 3.89423847198   <-> 3.51621675491   || 1
van             | achttien        | 7.67991161346   <-> 7.31147098541   || 1
achttien        | holes           | 12.5654220581   <-> 11.0141763687   || 1
holes           | op              | 3.61598992348   <-> 3.4155755043    || 1
op              | maandag         | 8.1324224472    <-> 7.87518930435   || 1
maandag         | </s>            | 0.988341033459  <-> 1.22480893135   || 0
<s>             | de              | 1.9801145792    <-> 2.16772866249   || 0
de              | eerste          | 3.86102986336   <-> 3.99391508102   || 0
eerste          | twee            | 4.86301898956   <-> 4.85880279541   || 1
twee            | majors          | 12.3134117126   <-> 11.6593017578   || 1
majors          | van             | 2.88237428665   <-> 2.58519244194   || 1
van             | het             | 2.3485789299    <-> 2.12116956711   || 1
het             | seizoen         | 5.53348588943   <-> 4.55710983276   || 1
seizoen         | hebben          | 3.97832226753   <-> 3.75949239731   || 1
hebben          | we              | 4.05107879639   <-> 2.74980688095   || 1
we              | dus             | 6.34724521637   <-> 6.04726600647   || 1
dus             | gehad           | 7.39632034302   <-> 8.27114868164   || 0
gehad           | </s>            | 1.22218453884   <-> 1.32483530045   || 0
<s>             | dit             | 5.45897293091   <-> 5.2924041748    || 1
dit             | weekend         | 4.24001932144   <-> 4.30576944351   || 0
weekend         | staat           | 5.25172710419   <-> 5.51713085175   || 0
staat           | de              | 2.08540248871   <-> 1.66361069679   || 1
de              | derde           | 5.83497047424   <-> 5.87002801895   || 0
derde           | van             | 3.02879714966   <-> 2.6820704937    || 1
van             | de              | 0.925002455711  <-> 0.923153877258  || 1
de              | vier            | 5.53453826904   <-> 5.23276329041   || 1
vier            | op              | 6.08304834366   <-> 5.44209337234   || 1
op              | het             | 2.35176253319   <-> 1.99967241287   || 1
het             | programma       | 4.52687931061   <-> 4.53831768036   || 0
programma       | </s>            | 1.21130418777   <-> 1.2753534317    || 0
<s>             | de              | 2.00391411781   <-> 2.15647506714   || 0
de              | British         | 10.8079156876   <-> 11.3850135803   || 0
British         | Open            | 5.4313249588    <-> 1.64258015156   || 1
Open            | </s>            | 3.63647556305   <-> 4.37484312057   || 0
<s>             | gespeeld        | 11.7954416275   <-> 11.0081624985   || 1
gespeeld        | op              | 3.43091917038   <-> 2.79215908051   || 1
op              | de              | 1.34651505947   <-> 1.36158335209   || 0
de              | authentieke     | 10.5632505417   <-> 10.2676229477   || 1
authentieke     | <UNK>           | 1.51115739346   <-> 1.67997789383   || 0
<UNK>           | van             | 2.16690826416   <-> 1.43825280666   || 1
van             | <UNK>           | 2.12115097046   <-> 2.40795826912   || 0
<UNK>           | aan             | 6.08774662018   <-> 5.9359793663    || 1
aan             | de              | 1.08539581299   <-> 1.08304357529   || 1
de              | Schotse         | 8.12835407257   <-> 7.89089012146   || 1
Schotse         | kust            | 5.11624145508   <-> 4.47890472412   || 1
kust            | </s>            | 1.26672172546   <-> 1.22381794453   || 1
<s>             | een             | 3.4842312336    <-> 3.66385030746   || 0
een             | baan            | 8.51996517181   <-> 8.17394065857   || 1
baan            | waar            | 5.72861385345   <-> 5.37186956406   || 1
waar            | ze              | 3.59758996964   <-> 3.38227367401   || 1
ze              | geen            | 4.52241420746   <-> 4.58251714706   || 0
geen            | enkele          | 4.15759658813   <-> 3.64710283279   || 1
enkele          | kunstmatige     | 11.3046483994   <-> 11.4009542465   || 0
kunstmatige     | hindernis       | 9.20933151245   <-> 7.91521453857   || 1
hindernis       | hebben          | 3.67126584053   <-> 2.70141649246   || 1
hebben          | gelegd          | 6.57286453247   <-> 7.13260889053   || 0
gelegd          | omdat           | 5.82122135162   <-> 5.83602809906   || 0
omdat           | er              | 3.30686211586   <-> 2.82189750671   || 1
er              | een             | 2.03215050697   <-> 2.23901295662   || 0
een             | natuurlijke     | 8.63272666931   <-> 8.64275741577   || 0
natuurlijke     | hindernis       | 8.82058906555   <-> 8.35502338409   || 1
hindernis       | is              | 2.34723234177   <-> 2.40581607819   || 0
is              | die             | 4.69205760956   <-> 4.34882497787   || 1
die             | al              | 4.72787666321   <-> 4.65725803375   || 1
al              | haar            | 6.27339172363   <-> 5.96227645874   || 1
haar            | kunstmatige     | 11.1279430389   <-> 11.0360078812   || 1
kunstmatige     | collega's       | 7.32447433472   <-> 7.10594940186   || 1
collega's       | overbodig       | 10.7160491943   <-> 9.96434783936   || 1
overbodig       | maakt           | 4.82308483124   <-> 4.37380027771   || 1
maakt           | </s>            | 0.508046746254  <-> 0.379514247179  || 1
<s>             | de              | 1.81554150581   <-> 1.86022555828   || 0
de              | felle           | 9.7167673111    <-> 9.62577629089   || 1
felle           | <UNK>           | 1.95081067085   <-> 1.86937439442   || 1
<UNK>           | </s>            | 4.82036161423   <-> 3.87886953354   || 1
<s>             | verder          | 7.81018686295   <-> 7.07279729843   || 1
verder          | maaien          | 12.882932663    <-> 12.278008461    || 1
maaien          | ze              | 3.17893409729   <-> 3.46241927147   || 0
ze              | het             | 3.59674668312   <-> 3.33950901031   || 1
het             | gras            | 8.10857200623   <-> 7.05710554123   || 1
gras            | één           | 8.0431137085    <-> 8.25057220459   || 0
één           | keer            | 3.38870716095   <-> 3.32110667229   || 1
keer            | per             | 4.96728897095   <-> 4.39191293716   || 1
per             | jaar            | 1.97182166576   <-> 1.53518223763   || 1
jaar            | en              | 3.26977491379   <-> 3.37222146988   || 0
en              | dat             | 3.89374303818   <-> 4.64627885818   || 0
dat             | is              | 2.41782426834   <-> 2.50876712799   || 0
is              | zeker           | 5.84727430344   <-> 5.82429122925   || 1
zeker           | niet            | 2.75344181061   <-> 2.4126534462    || 1
niet            | voor            | 3.64522433281   <-> 4.39391422272   || 0
voor            | de              | 1.10945439339   <-> 1.34947705269   || 0
de              | Open            | 9.82479190826   <-> 8.49624252319   || 1
Open            | </s>            | 2.29164552689   <-> 1.47375166416   || 1
<s>             | Schotten        | 13.5833330154   <-> 12.4828920364   || 1
Schotten        | zijn            | 2.84071016312   <-> 2.68866062164   || 1
zijn            | zondag          | 7.26650047302   <-> 7.37338829041   || 0
zondag          | </s>            | 3.03614139557   <-> 3.19262075424   || 0
<s>             | voor            | 4.55999040604   <-> 4.52026844025   || 1
voor            | hen             | 5.52080154419   <-> 5.77847337723   || 0
hen             | was             | 3.8390994072    <-> 3.69612717628   || 1
was             | de              | 1.69835925102   <-> 1.66137492657   || 1
de              | beste           | 5.55987358093   <-> 5.19910669327   || 1
beste           | <UNK>           | 2.03463101387   <-> 2.08380842209   || 0
<UNK>           | <UNK>           | 2.9161593914    <-> 3.13375234604   || 0
<UNK>           | Natuur          | 13.1763677597   <-> 13.2428970337   || 0
Natuur          | </s>            | 1.29532837868   <-> 1.38635921478   || 0
<s>             | Gary            | 10.7526025772   <-> 11.0503845215   || 0
Gary            | Player          | 11.8327035904   <-> 11.1631269455   || 1
Player          | vatte           | 9.49740028381   <-> 9.71884250641   || 0
vatte           | het             | 2.82582688332   <-> 2.89967155457   || 0
het             | zo              | 5.83306598663   <-> 6.66335868835   || 0
zo              | samen           | 6.89411449432   <-> 6.76298379898   || 1
samen           | </s>            | 2.02777552605   <-> 2.99124884605   || 0
<s>             | <UNK>           | 3.07802700996   <-> 3.09865045547   || 0
<UNK>           | is              | 3.07420682907   <-> 2.77198958397   || 1
is              | het             | 3.13387346268   <-> 3.24435734749   || 0
het             | bewijs          | 6.72347640991   <-> 6.61975622177   || 1
bewijs          | dat             | 1.24892246723   <-> 0.794726729393  || 1
dat             | men             | 5.20949029922   <-> 4.83477973938   || 1
men             | zelfs           | 6.20386505127   <-> 6.02392101288   || 1
zelfs           | een             | 2.22379493713   <-> 2.31461119652   || 0
een             | moeras          | 11.4033184052   <-> 11.0660610199   || 1
moeras          | nog             | 7.24598407745   <-> 7.08641862869   || 1
nog             | <UNK>           | 3.60134553909   <-> 3.78563308716   || 0
<UNK>           | kan             | 3.76786518097   <-> 3.90455389023   || 0
kan             | maken           | 3.47864603996   <-> 3.38994145393   || 1
maken           | </s>            | 0.504190027714  <-> 0.534638643265  || 0
<s>             | en              | 4.04374694824   <-> 3.83493328094   || 1
en              | de              | 2.73910093307   <-> 2.28281593323   || 1
de              | grote           | 5.2866191864    <-> 5.46312236786   || 0
grote           | Ben             | 12.4940681458   <-> 11.7078952789   || 1
Ben             | <UNK>           | 1.3154488802    <-> 1.05620718002   || 1
<UNK>           | bekeek          | 10.3100662231   <-> 10.4267435074   || 0
bekeek          | <UNK>           | 3.27973270416   <-> 3.73191261292   || 0
<UNK>           | met             | 3.28514432907   <-> 3.68512678146   || 0
met             | een             | 1.81956934929   <-> 1.80466771126   || 1
een             | scherpe         | 7.91017436981   <-> 7.74593162537   || 1
scherpe         | blik            | 6.78329086304   <-> 6.34126901627   || 1
blik            | en              | 3.27364778519   <-> 3.03887844086   || 1
en              | sprak           | 8.82983779907   <-> 9.08159637451   || 0
sprak           | </s>            | 4.44679832458   <-> 4.62887573242   || 0
<s>             | het             | 2.77428674698   <-> 2.82239437103   || 0
het             | <UNK>           | 2.46916055679   <-> 2.57471776009   || 0
<UNK>           | te              | 6.36500549316   <-> 6.85433912277   || 0
te              | veel            | 3.89831113815   <-> 3.04238200188   || 1
veel            | </s>            | 3.77647018433   <-> 3.31063127518   || 1
<s>             | toen            | 5.33186531067   <-> 5.5752248764    || 0
toen            | Lee             | 9.71159934998   <-> 10.0024394989   || 0
Lee             | <UNK>           | 1.79892504215   <-> 2.22242999077   || 0
<UNK>           | met             | 4.06631422043   <-> 4.12927532196   || 0
met             | zijn            | 3.23742437363   <-> 3.04534745216   || 1
zijn            | tweede          | 6.2786283493    <-> 5.21105003357   || 1
tweede          | shot            | 10.430478096    <-> 9.87117576599   || 1
shot            | in              | 3.08631825447   <-> 2.84909892082   || 1
in              | de              | 1.14255166054   <-> 1.24513840675   || 0
de              | <UNK>           | 1.97585558891   <-> 2.31590366364   || 0
<UNK>           | belandde        | 8.14335823059   <-> 7.31337451935   || 1
belandde        | en              | 3.46216130257   <-> 2.97035264969   || 1
en              | aan             | 5.38259220123   <-> 5.33583498001   || 1
aan             | zijn            | 3.36362934113   <-> 2.86971497536   || 1
zijn            | <UNK>           | 2.08282542229   <-> 2.4725189209    || 0
<UNK>           | vroeg           | 8.59753513336   <-> 7.90487480164   || 1
vroeg           | </s>            | 2.62732577324   <-> 2.4472925663    || 1
<s>             | heb             | 9.26512145996   <-> 8.67111682892   || 1
heb             | ik              | 0.816192686558  <-> 0.540792703629  || 1
ik              | een             | 2.44790554047   <-> 2.4912314415    || 0
een             | shot            | 10.3662452698   <-> 10.0088329315   || 1
shot            | naar            | 5.93687915802   <-> 5.26823806763   || 1
naar            | de              | 1.60267114639   <-> 1.3483839035    || 1
de              | green           | 12.1746559143   <-> 12.1852779388   || 0
green           | </s>            | 3.13694477081   <-> 2.80770587921   || 1
<s>             | antwoordde      | 11.2398490906   <-> 11.6188011169   || 0
antwoordde      | die             | 5.2583026886    <-> 5.39226818085   || 0
die             | </s>            | 5.09124422073   <-> 5.96036338806   || 0
<s>             | meer            | 6.95656681061   <-> 6.75766277313   || 1
meer            | dan             | 1.33448767662   <-> 0.807303607464  || 1
dan             | één           | 4.18430948257   <-> 3.68766713142   || 1
één           | zelfs           | 9.08692550659   <-> 10.0751094818   || 0
zelfs           | </s>            | 3.41484355927   <-> 4.19062805176   || 0
<s>             | <UNK>           | 3.099173069     <-> 3.04319357872   || 1
<UNK>           | dat             | 5.36815214157   <-> 5.49182605743   || 0
dat             | is              | 3.22558927536   <-> 4.44546890259   || 0
is              | op              | 4.37382173538   <-> 4.19650745392   || 1
op              | <UNK>           | 3.45521473885   <-> 3.76399683952   || 0
<UNK>           | alles           | 7.31991481781   <-> 8.32449245453   || 0
alles           | wat             | 4.43027114868   <-> 5.52885437012   || 0
wat             | buiten          | 8.33837795258   <-> 7.95772171021   || 1
buiten          | de              | 1.29221463203   <-> 1.22006773949   || 1
de              | green           | 12.2981491089   <-> 12.6679496765   || 0
green           | ligt            | 7.91695070267   <-> 6.85841369629   || 1
ligt            | </s>            | 0.823407590389  <-> 0.65715610981   || 1
<s>             | naar            | 6.81328964233   <-> 6.28571605682   || 1
naar            | de              | 1.19685351849   <-> 1.35760819912   || 0
de              | normen          | 8.98122024536   <-> 9.4636964798    || 0
normen          | van             | 1.09485566616   <-> 0.981176376343  || 1
van             | de              | 1.21581041813   <-> 0.855098843575  || 1
de              | <UNK>           | 1.54997014999   <-> 1.79133415222   || 0
<UNK>           | Amerikaanse     | 9.87573814392   <-> 9.51556968689   || 1
Amerikaanse     | banen           | 9.49955749512   <-> 9.26498031616   || 1
banen           | zijn            | 3.32066273689   <-> 3.68374705315   || 0
zijn            | zelfs           | 6.03791046143   <-> 6.19612979889   || 0
zelfs           | de              | 2.17212367058   <-> 2.56366825104   || 0
de              | <UNK>           | 1.8680485487    <-> 2.09176445007   || 0
<UNK>           | op              | 3.87550354004   <-> 4.10393571854   || 0
op              | <UNK>           | 3.01342463493   <-> 3.13640832901   || 0
<UNK>           | te              | 4.40148258209   <-> 4.56243896484   || 0
te              | <UNK>           | 3.47642230988   <-> 3.44749212265   || 1
<UNK>           | als             | 4.58303785324   <-> 4.61490011215   || 0
als             | <UNK>           | 2.12412333488   <-> 2.43589115143   || 0
<UNK>           | </s>            | 1.79665637016   <-> 1.22380137444   || 1
<s>             | <UNK>           | 3.069054842     <-> 3.12496948242   || 0
<UNK>           | zijn            | 4.11580944061   <-> 4.37494373322   || 0
zijn            | er              | 2.98498010635   <-> 3.07090210915   || 0
er              | niet            | 2.68045186996   <-> 2.82396459579   || 0
niet            | </s>            | 3.45383620262   <-> 3.00361895561   || 1
<s>             | wat             | 5.26495742798   <-> 5.04451656342   || 1
wat             | ons             | 6.67902040482   <-> 6.63414669037   || 1
ons             | verplicht       | 8.82487487793   <-> 8.50635528564   || 1
verplicht       | Henry           | 13.4055366516   <-> 14.4389362335   || 0
Henry           | <UNK>           | 2.19589543343   <-> 2.10471630096   || 1
<UNK>           | te              | 3.19556450844   <-> 3.01923108101   || 1
te              | citeren         | 8.28924465179   <-> 8.56518173218   || 0
citeren         | die             | 4.58258152008   <-> 4.97686481476   || 0
die             | de              | 2.38706731796   <-> 2.22637557983   || 1
de              | <UNK>           | 1.8811314106    <-> 2.07195019722   || 0
<UNK>           | omschreef       | 10.3745269775   <-> 10.7001075745   || 0
omschreef       | als             | 4.63240146637   <-> 4.17523670197   || 1
als             | de              | 1.87630403042   <-> 1.84161436558   || 1
de              | dunne           | 10.4722337723   <-> 10.6864089966   || 0
dunne           | strook          | 9.44408988953   <-> 9.5962638855    || 0
strook          | <UNK>           | 2.41910362244   <-> 3.22017812729   || 0
